PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Programa Artista Visitante,2012,2012,OUTRA,['Clifford Hill Korman'],['SIM']
Improvisa,2014,ATUAL,PESQUISA,"['Clifford Hill Korman', 'Mauro Rodrigues', 'Guilherme Peluci de Castro']","['SIM', 'NAO', 'NAO']"
Palco UFMG,2012,2017,EXTENSAO,['Clifford Hill Korman'],['SIM']
Diálogos entre a Preparação e o Imprevisivel:Noites Improvisadas,2014,ATUAL,OUTRA,['Clifford Hill Korman'],['SIM']
Dave Stryker Organ Trio,2010,2010,EXTENSAO,"['Clifford Hill Korman', 'Margarida Maria Borghoff']","['SIM', 'NAO']"
Workshops -Savassi Jazz na UFMG,2011,2016,EXTENSAO,['Clifford Hill Korman'],['SIM']
De Nova York para Belo Horizonte- Visita de Professores da New School for Jazz and Contemporary Music,2011,2011,EXTENSAO,['Clifford Hill Korman'],['SIM']
Cliff Korman e alunos na Quarta Cultural,2011,2015,EXTENSAO,['Clifford Hill Korman'],['SIM']
Improviso Livre na Europa: Oficina com Professora Franziska Schroeder,2014,2014,EXTENSAO,"['Clifford Hill Korman', 'Fernando de Oliveira Rocha']","['SIM', 'NAO']"
"?Jazz e Fagote: ?Expressão e improvisação usando a harmonia, modalidades, articulações e ritmos de jazz?",2011,2014,EXTENSAO,"['Clifford Hill Korman', 'Janet Grice']","['SIM', 'NAO']"
Oficinas de Música Popular,2015,2016,EXTENSAO,"['Clifford Hill Korman', 'Margarida Maria Borghoff']","['SIM', 'NAO']"
Pesquisando Paulo Moura,2012,2016,PESQUISA,['Clifford Hill Korman'],['SIM']
O Acervo Paulo Moura: Elaboração e Pesquisa,2016,ATUAL,PESQUISA,['Clifford Hill Korman'],['SIM']
Big Band na UNIRIO: interfaces com as diversas comunidades cariocas,2016,ATUAL,EXTENSAO,"['Clifford Hill Korman', 'Thiago Trajano']","['SIM', 'NAO']"
HARMONIA EM MÚSICA POPULAR: Novas Tendências e Metodologias,2018,ATUAL,ENSINO,"['Clifford Hill Korman', 'Tássio Ramos']","['SIM', 'NAO']"
"PESQUISA EM ACERVOS MUSICAIS SEDIADOS NO ESTADO DO RIO DE JANEIRO ? identificação e estudo de obras, coleções e fundos documentais",2019,ATUAL,PESQUISA,"['Clifford Hill Korman', 'Luciana Pires de Sá Requião', 'Pedro Aragão', 'Regina Maria do Rego de Abreu', 'Martha Ulhoa', 'Maya Suemi Lemos', 'Inês de Almeida Rocha']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Música Popular na UNIRIO: criatividade e cultura além das paredes,2017,2021,EXTENSAO,"['Clifford Hill Korman', 'Claudio Dauelsberg', 'Thiago Trajano', 'Josimar Carneiro', 'Paula Faour']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
