INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade do Estado de Minas Gerais,2001,12,12,12,Práticas Interpretativas da Música Brasileira,ESPECIALIZACAO,['Didática do Ensino do Instrumento II: Piano - 30h']
Fundação Cóvis Salgado - Palácio das Artes,2001,03,03,03,,ENSINO-MEDIO,['Piano-acompanhamento']
Universidade do Estado de Minas Gerais,2002,06,06,06,Música Brasileira: Práticas Interpretativas,ESPECIALIZACAO,['Metodologia da Pesquisa Científica - 30h']
Universidade Vale do Rio Verde de Três Corações,2003,12,12,12,Curso de complementação pedagógica,GRADUACAO,['Didática do ensino do instrumento']
Universidade do Estado de Minas Gerais,2004,12,12,12,Bacharelado em Música,GRADUACAO,"['Didática da Música', 'Leitura à primeira vista']"
Universidade do Estado de Minas Gerais,2004,12,12,12,Licenciatura em Música,GRADUACAO,"['Música de Câmara', 'Didática do ensino do instrumento', 'Metodologia da Pesquisa']"
Universidade Vale do Rio Verde de Três Corações,2004,12,12,12,Curso de complementação pedagógica,GRADUACAO,['Didática do ensino do instrumento']
Universidade do Estado de Minas Gerais,2005,07,07,07,Princípios e Recursos Pedag. em Música: Ed.Musical,ESPECIALIZACAO,['Psicologia da Música - 30h']
Universidade do Estado de Minas Gerais,2006,06,06,06,Música Brasileira: Práticas Interpretativas,ESPECIALIZACAO,['Pedagogia do Instrumento']
Universidade do Estado de Minas Gerais,2007,12,12,12,Licenciatura em Música,GRADUACAO,"['Instrumento: Piano - 36h', 'Psicologia da Aprendizagem e da Performance Musical - 36h']"
Universidade do Estado de Minas Gerais,2007,12,12,12,Bacharelado em Música,GRADUACAO,"['Leitura à Primeira Vista I - 18h', 'Leitura à Primeira Vista II - 18h', 'Psicologia da Aprendizagem e da Performance Musical - 36h']"
Universidade do Estado de Minas Gerais,2008,06,06,06,Princípios e Rec.Pedag:Fundamentos da Reg. Coral,ESPECIALIZACAO,['Psicologia da Música - 30h']
Universidade do Estado de Minas Gerais,2008,11,11,11,Licenciatura em Música,GRADUACAO,"['Orientação de Monografia I - 18h', 'Orientação de Monografia II - 18h']"
Universidade do Estado de Minas Gerais,2008,08,08,08,Princípios e Rec. Ped. em Música: Visc.do R.Branco,ESPECIALIZACAO,"['Psicologia da Aprendizagem e da Performance Musical - 36h', 'Oficina de Performance - 40h']"
Universidade do Estado de Minas Gerais,2010,12,12,12,Bacharelado em Música,GRADUACAO,"['Oficina de Performance - 36h', 'Prática do Canto com Acompanhamento - 18h', 'Prática Instrumental com Acompanhamento - 18h']"
Universidade do Estado de Minas Gerais,2011,06,06,06,Música Brasileira: Práticas Interpretativas,ESPECIALIZACAO,['Tópicos em Performance - 6h']
