PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Síntese Sonora Dodecafônica,2010,2014,PESQUISA,"['Rogério Tavares Constante', 'James Correa Soares', 'Carlos Walter Soares']","['SIM', 'NAO', 'NAO']"
Piano preparado: pesquisa e criação de repertório,2011,2013,PESQUISA,"['Rogério Tavares Constante', 'Joana Cunha de Holanda', 'Lucia Cervini']","['NAO', 'NAO', 'SIM']"
Grupo de Laptops: desenvolvimento de processos composicionais,2012,2014,PESQUISA,"['Rogério Tavares Constante', 'James Correa Soares', 'Carlos Walter Soares']","['NAO', 'SIM', 'NAO']"
Métodos e processos composicionais: a colaboração entre compositor e intérprete,2015,2018,PESQUISA,"['Rogério Tavares Constante', 'Joana Cunha de Holanda', 'Lucia Cervini', ""Raul Costa d'Avila"", 'Antônio Carlos Guimarães']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Jam Session - Improvisação,2010,2010,EXTENSAO,"['Rogério Tavares Constante', 'Alexandra Dias']","['NAO', 'SIM']"
NuMCquinho - Prática Discente na´Música Contemporânea.,2011,ATUAL,EXTENSAO,"['Rogério Tavares Constante', 'Lucia Cervini']","['NAO', 'SIM']"
Software de auxílio em exercícios de contraponto,2013,2014,OUTRA,['Rogério Tavares Constante'],['SIM']
Na Terra do NuMC,2010,ATUAL,EXTENSAO,"['Rogério Tavares Constante', 'Joana Cunha de Holanda', 'Lucia Cervini', 'James Correa Soares', 'Carlos Walter Soares']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
As práticas de ensino da composição musical em instituições de ensino superior,2018,ATUAL,PESQUISA,"['Rogério Tavares Constante', 'James Correa Soares', 'Carlos Walter Soares']","['SIM', 'NAO', 'NAO']"
Processos compositivos no desenvolvimento e utilização de um software interpolador de materiais musicais,2020,ATUAL,PESQUISA,['Rogério Tavares Constante'],['SIM']
Práticas Interpretativas  no Repertório Brasileiro para piano preparado,2009,2013,PESQUISA,"['Rogério Tavares Constante', 'Joana Cunha de Holanda', 'Lucia Cervini']","['NAO', 'SIM', 'NAO']"
