COURSE,YEAR,INTEGRANTES
Moda e cultura,2007,['Angélica Oliveira Adverse']
Os Excessos do Gênero &amp; do Contra-Gênero na História da Arte,2017,['Angélica Oliveira Adverse']
Poesias Táteis,1998,['Angélica Oliveira Adverse']
Desenho e Ilustração de Moda,1998,['Angélica Oliveira Adverse']
Desenho e Ilustração de Moda,1998,['Angélica Oliveira Adverse']
Desenho e Ilustração de Moda,2000,['Angélica Oliveira Adverse']
"Há Versos: Têxteis, Tessituras e Poesias",2003,['Angélica Oliveira Adverse']
A História da Moda e o Universo Infanto Juvenil,2000,['Angélica Oliveira Adverse']
Moda e Contemporaneidade: Grupos Urbanos e Estetização do Cotidiano,1999,['Angélica Oliveira Adverse']
Arte &amp; Design: mediação e proposições da crítica-estética para a exposição Metal Etéreo de Olavo Machado Neto,2022,['Angélica Oliveira Adverse']
Mediação cultural: aspectos pedagógicos da relação entre o design e a arte,2022,['Angélica Oliveira Adverse']
Corpos Como Roupas: Moulage e Artwear,2012,['Angélica Oliveira Adverse']
Corpos como Roupas - Moulage e Artwear,2013,['Angélica Oliveira Adverse']
