TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Segredos do coração: a escola como espaço para o olhar sensível,2010,10.1590/s0101-32622010000100006,Inglês,CADERNOS CEDES (IMPRESSO),A1,0101-3262,['Rosvita Kolb Bernardes'],['1'],['1'],-99
Tornando visível práticas invisíveis de professsores de arte: narrativas autobiográficas,2011,,Português,ETD : Educação Temática Digital,A2,1676-2592,['Rosvita Kolb Bernardes'],['1'],['1'],-99
Caderno de artista: Narrativas autobiográficas,2013,,Português,SCIAS - Arte/Educação,XX,2318-8537,['Rosvita Kolb Bernardes'],['1'],['1'],-99
Modos de falar de si: a dimensão estética nas narrativas autobiográficas,2015,10.1590/0103-7307201507611,Português,Pró-Posições (UNICAMP. Impresso),XX,0103-7307,"['Luciana Esmeralda Ostetto', 'Rosvita Kolb Bernardes']","['1', '2']",['2'],-99
Quando Verdejar,2013,,Português,Revista : Estúdio,XX,1674-6158,"['Sonia Assis', 'Rosvita Kolb Bernardes']","['1', '2']",['2'],-99
Belo Horizonte tem história para contar,2002,,Português,Avisa Lá (Centro de Estudos e Informações Crecheplan),C,1806-8340,"['Rosvita Kolb Bernardes', 'Paula, C. R.']","['1', '2']",['1'],-99
"De uma história a outra, a professora que sou",2018,10.5902/1983734833905,Português,Revista Digital do Laboratório de Artes Visuais ? UFSM/RS,B1,1983-7348,['Rosvita Kolb Bernardes'],['1'],['1'],-99
Atravessamentos no e com o corpo: narrativas estéticas na docência,2019,,Português,Revista @mbienteeducação,B4,1982-8632,['Rosvita Kolb Bernardes'],['1'],['1'],-99
"Narrativas autobiográficas entre a arte, o corpo e o afeto",2015,,Português,Revista @mbienteeducação,B4,1982-8632,"['Rosvita Kolb Bernardes', 'luciana mendes velloso']","['1', '2']",['1'],-99
Espaços poéticos como mediação para a narrativa de si,2020,10.5585/eccos.n53.16658,Português,ECCOS REVISTA CIENTÍFICA (ONLINE),A3,1983-9278,"['Rosvita Kolb Bernardes', 'PEREIRA, ANA CRISTINA CARVALHO']","['1', '2']",['1'],-99
"Pirilampo, lamparina: lumenzinho de mim, céu pintado de história.",2020,10.31892/rbpap2525-426X.2020.v5.n13.p314-324,Português,REVISTA BRASILEIRA DE PESQUISA (AUTO)BIOGRÁFICA,A4,2525-426X,['Rosvita Kolb Bernardes'],['1'],['1'],-99
INCLUSÃO CULTURAL: NARRATIVAS ESTÉTICAS NA DOCÊNCIA,2019,10.24981/16470508.12.7,Português,IN-VISIBILIDADES (LISBOA),XX,1647-0508,['Rosvita Kolb Bernardes'],['1'],['1'],-99
Infâncias em diários de formação estética: narrativas de estudantes de pedagogia e de arte,2019,10.26843/ae19828632v12n22019p164a180,Português,Revista @mbienteeducação,B4,1982-8632,"['OSTETTO, LUCIANA ESMERALDA', 'Rosvita Kolb Bernardes']","['1', '2']",['2'],-99
Processos Criativos: O que temos a aprender com as crianças?,2017,,Português,PAIDÉIA (BELO HORIZONTE),B3,1676-9627,['Rosvita Kolb Bernardes'],['1'],['1'],-99
