TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
O Ser e o Vestir: Oscar Wilde e a Masculinidade Estetizada na Arte,2016,,Português,Pós: Revista do Programa de Pós-graduação em Artes da Escola de Belas Artes da UFMG,A3,1982-9507,['Angélica Oliveira Adverse'],['1'],['1'],-99
A Experiência Estética entre a Arte e a Moda,2016,,Português,Achiote,B3,2318-5724,['Angélica Oliveira Adverse'],['1'],['1'],-99
O Verso (In) autêntico: A Subversão do Plágio por Kenneth Goldsmith,2017,,Português,Artefactum (Rio de Janeiro),B4,1984-3852,['Angélica Oliveira Adverse'],['1'],['1'],-99
"Atitude de arte, arte da atitude: o Dandismo performático de Gilbert &amp;amp; George",2017,10.22456/2357-9854.70909,Português,REVISTA GEARTE,A4,2357-9854,['Angélica Oliveira Adverse'],['1'],['1'],-99
A morte de James Lee Byars: imagem da (des)aparição de si,2018,10.26563/dobras.v11i23.713,Português,"DOBRAS (BARUERI, SP)",A2,1982-0313,['Angélica Oliveira Adverse'],['1'],['1'],-99
Absolutamente outro [Dandismo &amp;amp; Melancolia],2019,10.5965/2175234611242019099,Português,PALÍNDROMO (ONLINE),XX,2175-2346,['Angélica Oliveira Adverse'],['1'],['1'],-99
Dandismo: Notas sobre Distinção e Semelhança.,2018,,Português,ACERVO: REVISTA DO ARQUIVO NACIONAL,A3,2237-8723,['Angélica Oliveira Adverse'],['1'],['1'],-99
Desvio como Método: a dimensão relacional no design radical,2020,10.4237/,Português,VIRUS,A2,2175-974X,"['Angélica Oliveira Adverse', 'Adriana Dornas', 'Maira Gouveia']","['1', '2', '3']",['1'],-99
ROUPAS COMO CORPOS: O AGENCIAMENTO POLÍTICO DO VESTUÁRIO POR CHRISTIAN BOLTANSKI / Clothes as bodies: the political agency of clothing by Christian Boltanski,2020,10.37235/ae.n39.5,Português,ARTE &amp; ENSAIO (UFRJ),B1,2448-3338,['Angélica Oliveira Adverse'],['1'],['1'],-99
"A Prática das Correspondências no Design: Objetos do Corpo, Corpobjeto",2020,10.35522/eed.v28i2.986,Português,ESTUDOS EM DESIGN (ONLINE),XX,1983-196X,"['Adriana Dornas', 'Angélica Oliveira Adverse', 'Maira Gouveia']","['1', '2', '3']",['2'],-99
Práxis Interartística &amp; Experiência Relacional nos Processos Pedagógicos,2020,10.35699/2237-5864.2020.20694,Português,Pós: Revista do Programa de Pós-graduação em Artes da Escola de Belas Artes da UFMG,A3,1982-9507,['Angélica Oliveira Adverse'],['1'],['1'],-99
Artesania como Experiência Mnemônica no Design,2017,,Português,Revista Transverso,B4,2236-4129,['Angélica Oliveira Adverse'],['1'],['1'],-99
La piel de las cosas: de la poética intercorporal a la experiencia del design,2021,,Português,Cuadernos del Centro de Estudios en Diseño y Comunicación,XX,1853-3523,"['Angélica Oliveira Adverse', 'Adriana Dornas']","['1', '2']",['1'],-99
Visibility Strategies: On the Imprudence of the Art on Walls,2021,10.13130/2035-7680/15553,Português,ALTRE MODERNITÀ,XX,2035-7680,['Angélica Oliveira Adverse'],['1'],['1'],-99
"Estratégias de Resistência dos Artefatos Políticos de Zuzu Angel [Testemunho &amp; Crítica nas relações entre a moda, a arte e o design]",2021,,Português,CUADERNOS DEL CENTRO DE ESTUDIOS DE DISEÑO Y COMUNICACIÓN,XX,1853-3523,['Angélica Oliveira Adverse'],['1'],['1'],-99
Animali Domestici por Nicoletta Branzi &amp; Andrea Branzi: del nomadismo cultural al concepto radicante en el diseño ecosocial,2022,,Português,CUADERNOS DEL CENTRO DE ESTUDIOS DE DISEÑO Y COMUNICACIÓN,A3,1668-0227,"['Angélica Oliveira Adverse', 'Adriana Dornas']","['1', '2']",['1'],-99
DA Dandy,2021,10.21814/2i.3164,Português,Revista 2i: Estudos de Identidade e Intermedialidade,XX,2184-7010,['Angélica Oliveira Adverse'],['1'],['1'],-99
