COURSE,YEAR,INTEGRANTES
Curso de Canto Coral,1988,['Luciana Monteiro de Castro Silva Dutra']
Curso de preparação para novos cantores,1989,['Luciana Monteiro de Castro Silva Dutra']
Curso de Férias,1984,['Luciana Monteiro de Castro Silva Dutra']
Curso Intensivo de Canto Coral,1993,['Luciana Monteiro de Castro Silva Dutra']
Curso Intensivo de Canto Coral (II),1995,['Luciana Monteiro de Castro Silva Dutra']
Workshop 'Palestrina',1998,['Luciana Monteiro de Castro Silva Dutra']
"Oficina A canção brasileira e a interpretação literária, no 37o. Festival de Inverno da UFMG",2005,['Luciana Monteiro de Castro Silva Dutra']
Oficina de Canto Lírico (XIII Festival Internacional de inverno de Domingos Martins),2006,['Luciana Monteiro de Castro Silva Dutra']
Oficina de Canto Coral - Coral Julia Pardini,2008,"['Luciana Monteiro de Castro Silva Dutra', 'Afranio Lacerda', 'Maria Amália Martins']"
A voz e a música,2010,"['Luciana Monteiro de Castro Silva Dutra', 'LUCAS, Maria Inês']"
Disciplina Práticas Interpretativas II,2010,['Luciana Monteiro de Castro Silva Dutra']
Masterclass no XXI Seminários Internacionais de Música da UFBA,2009,['Luciana Monteiro de Castro Silva Dutra']
A voz e a Música,2014,['Luciana Monteiro de Castro Silva Dutra']
Musicalização para Jovens e Adultos no CEPEM (Centro Presbiteriano de Estudos Musicais),2014,['Luciana Monteiro de Castro Silva Dutra']
Masterclass no evento Interpretação da Canção Brasileira UEM,2015,"['Luciana Monteiro de Castro Silva Dutra', 'Margarida Borghoff']"
"Masterclass na Cia.Minaz, Ribeirão Preto",2012,"['Luciana Monteiro de Castro Silva Dutra', 'Margarida Borghoff']"
A voz e a música,2016,['Luciana Monteiro de Castro Silva Dutra']
Musicalização para Jovens e Adultos no CEPEM (Centro Presbiteriano de Estudos Musicais),2016,['Luciana Monteiro de Castro Silva Dutra']
Masterclass no I Festival Internacional de Canto e Cordas de Aracaju,2016,['Luciana Monteiro de Castro Silva Dutra']
Oficinas de Canto Coral - Associação Coral Julia Pardini,2018,['Luciana Monteiro de Castro Silva Dutra']
Oficina de técnica vocal na Escola de Música de São Brás do Suaçui,2014,['Luciana Monteiro de Castro Silva Dutra']
