TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Arte Contemporânea como arte pós-histórica: uma análise a partir de Flusser,2014,Português,Relicário,['Rachel Cecília de Oliveira Costa'],['1'],['1']
O problema da desmaterialização na arte contemporânea,2014,Português,Relicário Edições,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Ontologia e desenraizamento: considerações acerca da filosofia da linguagem de Vilém Flusser,2015,Português,Clarinete,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Artist,2015,Inglês,Univocal Publishing,['Rachel Cecília de Oliveira Costa'],['1'],['1']
A sublime imaterialidade da arte contemporânea,2016,Português,Relicário Edições,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Evolving Mondrian-Style Artworks,2017,Português,Springer International Publishing,"['Cohen, Miri Weiss', 'Cherchiglia, Leticia', 'Rachel Cecília de Oliveira Costa']","['1', '2', '3']",['3']
Model,2015,Português,Univocal,['Rachel Cecília de Oliveira Costa'],['1'],['1']
To Publish,2015,Português,Univocal,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Para uma crítica de arte pós-histórica,2019,Português,7 Letras,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Phenomenology as an Exercise of 'Bodenlosigkeit',2018,Português,Verlag Traugott Bautz GmbH,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Aporias da pluralidade: como (....) sobre o que ainda não existe,2019,Português,Gráfica UFG,['Rachel Cecília de Oliveira Costa'],['1'],['1']
L'expérience du 's' ou Comment Vivre la différence,2020,Português,Éditions Mimésis,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Aporias da arte contemporânea: as teses do fim da arte,2020,Português,Impressões de Minas,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Entre dois mundos,2021,Português,Instituto Pipa,['Rachel Cecília de Oliveira Costa'],['1'],['1']
Germinar as sementes: a plantação de Lótus Lobo,2021,Português,ABCA,['Rachel Cecília de Oliveira Costa'],['1'],['1']
