TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
A Rítmica Corporal  do GOM- a abordagem de Ione de Medeiros,2007,Português,I.T. Medeiros,['Mônica Medeiros Ribeiro'],['1'],['1']
Casos Semântico-Lexicais Recorrentes no Discurso das Drogas de Abuso,2010,Português,Universidade Santa Úrsula Editora,"['Mônica Medeiros Ribeiro', 'Roselli-Cruz, Amadeu']","['1', '2']",['1']
"Expresión corporal, dramatización y danza en la escuela:propuestas para una prática corporal en artes escénicas",2011,Espanhol,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI)",['Mônica Medeiros Ribeiro'],['1'],['1']
Memórias na dança-improvisação: acontecimentos do corpo,2013,Português,,['Mônica Medeiros Ribeiro'],['1'],['1']
Uma neurociência para a educação: teoria e prática,2013,Português,Book Editora,"['Mônica Medeiros Ribeiro', 'Roselli-Cruz, Amadeu']","['1', '2']",['1']
Cognição e afetividade na experiência do movimento em dança: conhecimentos possíveis,2015,Português,Annablume,['Mônica Medeiros Ribeiro'],['1'],['1']
Preparação corporal e assessoria de movimento cênico: experiências  compartilhadas de construção de corpos poéticos,2021,Português,Multifoco,['Mônica Medeiros Ribeiro'],['1'],['1']
