PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Racismo e Educação: desafios para a formação docente,2005,2006,EXTENSAO,"['Benjamin Xavier de Paula', 'Cristina Mary Ribeiro Peron.', 'Maria Vieira Silva', 'Alexandre Fonseca dos Santos', 'Poliane Batista Silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
PROGRAMA DE FORMAÇÃO CONTINUADA DE PROFESSORESRACISMO E EDUCAÇÃO: DESAFIOS PARA A FORMAÇÃO DOCENTE,2005,2006,OUTRA,['Benjamin Xavier de Paula'],['SIM']
GRUPO DE ESTUDOS RACISMO E EDUCAÇÃO: DESAFIOS PARA A FORMAÇÃO DOCENTE,2005,2006,PESQUISA,['Benjamin Xavier de Paula'],['SIM']
Núcleo de Estudos Afro-brasileiros da Universidade Federal de Uberlândia (NEAB/UFU),2006,2007,PESQUISA,['Benjamin Xavier de Paula'],['SIM']
PROJETO DE APOIO AO NÚCLEO DE ESTUDOS AFRO-BRASILEIRO DA UNIVERSIDADE FEDERAL DE UBERLÂNDIA (NEAB/UFU).,2006,2007,DESENVOLVIMENTO,['Benjamin Xavier de Paula'],['SIM']
"PROJETO DE FORMAÇÃO DOCENTE DE CURSINHOS ALTERNATIVOS: CURRÍCULO E RELAÇÕES DE GÊNERO, RAÇA E ETNIA.",2006,2007,EXTENSAO,['Benjamin Xavier de Paula'],['SIM']
Programa de Formação Continuada de Professores da Educação Básica,2006,2007,OUTRA,['Benjamin Xavier de Paula'],['SIM']
"A EDUCAÇÃO PARA AS RELAÇÕES ETNICO-RACIAIS E O ESTUDO  DE HISTÓRIA E CULTURA DA ÁFRICA E AFRO-BRASILEIRA: FORMAÇÃO, SABERES E PRÁTICAS EDUCATIVAS",2009,2013,PESQUISA,"['Benjamin Xavier de Paula', 'Selva Guimarães']","['SIM', 'NAO']"
SEMINÁRIOS TEMÁTICOS: A EDUCAÇÃO PARA AS RELAÇÕES ÉTNICO-RACIAIS E O ESTUDO DA HISTÓRIA DA ÁFRICA E AFRO-BRASILEIRA - A IMPLEMENTAÇÃO DA LEI FEDERAL 10.639/2003 NA UFU,2015,2016,OUTRA,['Benjamin Xavier de Paula'],['SIM']
O Ensino da História e Cultura da África e Afro-brasileira no Estado de Minas Gerais,2015,2016,PESQUISA,"['Benjamin Xavier de Paula', 'AMANDA DE SOUZA HONORIO', 'LETÍCIA FERREIRA GONDIN']","['SIM', 'NAO', 'NAO']"
Seminários Temáticos: A Educação para as Relações Etnico-raciais e a Implementação da Lei Federal 10.639/2003 UFU,2015,2016,ENSINO,"['Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves']","['SIM', 'NAO']"
MEMÓRIA E HISTÓRIA DE DUAS COMUNIDADES REMANECENTES DE QUILOMBOS NA CHAPADA DIAMANTINA/BA,2016,2017,PESQUISA,"['Benjamin Xavier de Paula', 'Evely de Paula Santos Martins', 'Marcos Paulo de Assis']","['SIM', 'NAO', 'NAO']"
A Educação para as Relações Etnico-raciais no Estado de Minas Gerais,2016,2017,PESQUISA,"['Benjamin Xavier de Paula', 'Otavio Henrique Rodrigues Carvalho', 'Isadora Naves de Freitas']","['SIM', 'NAO', 'NAO']"
A EDUCAÇÃO PARA AS RELAÇÕES ETNICO-RACIAIS E O ESTUDO DA HISTÓRIA DA ÁFRICA E AFRO-BRASILEIRA NO ESTADO DE MINAS GERAIS,2016,2017,PESQUISA,"['Benjamin Xavier de Paula', 'LETICIA DA SILVA NASCIMENTO', 'CARLOS EDUARDO DE PAULA ALVES']","['SIM', 'NAO', 'NAO']"
PROGRAMA DE APOIO AS COMUNIDADES QUILOMBOLAS: CONHECER PARA TRANSFORMAR,2016,ATUAL,EXTENSAO,['Benjamin Xavier de Paula'],['SIM']
