TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Claude Elwood Shannon e A Symbolic Analysis of Relay and Switching Circuits: tornando o computador uma máquina semiótica,2009,,Português,CONTEMPORANEA (SALVADOR. IMPRESSO),XX,1806-0269,['Christian Hugo Pelegrini'],['1'],['1'],-99
O significado contemporaneo da Teoria Matematica da Comunicação,2009,,Português,Caderno.com,XX,1980-0916,['Christian Hugo Pelegrini'],['1'],['1'],-99
Tour de Force: 30 Rock Live Show e a metalinguagem do tempo direto,2012,,Português,CONTRACAMPO (UFF),A2,1414-7483,['Christian Hugo Pelegrini'],['1'],['1'],-99
A poética do cômico em Arrested Development e a reassistibilidade,2012,,Português,Palabra Clave,A4,0122-8285,['Christian Hugo Pelegrini'],['1'],['1'],-99
O que é revolucionário na Revolução Digital?,2004,,Português,Re-ação Integrada,XX,1678-779X,['Christian Hugo Pelegrini'],['1'],['1'],-99
'Vale a pena ver de novo: a complexidade narrativa do episódio Blink da série de Doctor Who e a reassistibilidade,2012,,Português,CIBERLEGENDA (UFF. ONLINE),B2,1519-0617,"['Christian Hugo Pelegrini', 'Priscila Nemeth']","['1', '2']",['1'],-99
Narrativas Complexas,2013,,Português,Contracampo (UFF),A2,1414-7483,"['Maria Cristina Mungiolli', 'Christian Hugo Pelegrini']","['1', '2']",['2'],-99
Apresentando: a estrela de sitcom,2013,,Português,Contemporanea (UFBA. Online),A3,1809-9386,"['Christian Hugo Pelegrini', 'Rogério de Almeida']","['1', '2']",['1'],-99
Rose: uma ilha de esterótipos em Lost,2013,,Português,Significação: Revista de Cultura Audiovisual,XX,1516-4330,"['Christian Hugo Pelegrini', 'Rogério de Almeida']","['1', '2']",['1'],-99
"SUJEITO, PODER E HIPERREALIDADE",2013,,Português,RELIGARE: REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DAS RELIGIÕES DA UFPB,A4,1982-6605,"['José Luis Pacheco de Oliveira', 'César Zamberlan', 'Christian Hugo Pelegrini']","['1', '2', '3']",['3'],-99
O sitcom de câmera única e a serialização do estilo,2015,,Português,Crítica Cultural,B1,1980-6493,['Christian Hugo Pelegrini'],['1'],['1'],-99
"Os textos críticos sobre o filme O Som ao Redor, seus pressupostos estéticos e desdobramentos hermenêuticos",2016,10.5294/pacla.2016.19.3.3,Português,Palabra Clave,A4,0122-8285,"['ALMEIDA, ROGÉRIO DE', 'Christian Hugo Pelegrini']","['1', '2']",['2'],-99
Fargo: do filme a série,2017,10.11144/Javeriana.mavae12-1.fdfs,Português,"Cuadernos de Musica, Artes Visuales y Artes Escenicas",A2,2215-9959,['Christian Hugo Pelegrini'],['1'],['1'],-99
Remediação e intermidialidade como geradores de comicidade em Web Therapy e Modern Family,2016,,Português,REVISTA GEMInIS,A4,2179-1465,['Christian Hugo Pelegrini'],['1'],['1'],-99
Valente: a desconstrução dos estereótipos femininos em uma princesa Disney,2018,,Português,"REVISTA ENTREIDEIAS: EDUCAÇÃO, CULTURA E SOCIEDADE",B1,2317-1219,"['Raquel Vitorelo', 'Christian Hugo Pelegrini']","['1', '2']",['2'],-99
ESTÉTICA NOIR NA PRIMEIRA TEMPORADA DE TRUE DETECTIVE,2020,,Português,CIBERLEGENDA (UFF. ONLINE),B2,1519-0617,"['Christian Hugo Pelegrini', 'Mariana Lemos Schwartz']","['1', '2']",['1'],-99
Mestres do domínio dos outros: narrativa e estilo em Seinfeld,2017,10.15448/1980-3729.2017.2.25049,Português,REVISTA FAMECOS (ONLINE),A2,1980-3729,['Christian Hugo Pelegrini'],['1'],['1'],-99
