COURSE,YEAR,INTEGRANTES
Oficina da Animação 2D,2011,"['Maurício Silva Gino', 'Simon Pedro Brethé']"
Mini-curso de Inclusão Audiovisual através do Documentário,2011,"['Maurício Silva Gino', 'Sérgio Henrique Carvalho Vilaça']"
A Imagem como Objeto de Aprendizagem,2013,['Maurício Silva Gino']
A percepção do patrimônio histórico através da fotografia pin hole,2001,['Maurício Silva Gino']
Animando com o Scanner,2006,"['Maurício Silva Gino', 'Maria da Conceição Bicalho']"
Pesquisas no Campo da Animação,2014,['Maurício Silva Gino']
