COURSE,YEAR,INTEGRANTES
Curso de Extensão em Trabalhos Comunitários,2002,['Narciso Larangeira Telles da Silva']
Teatro e Desenvolvimento Social,2002,['Narciso Larangeira Telles da Silva']
Curso de Extensão em trabalhos comunitários - 2 Etapa,2002,['Narciso Larangeira Telles da Silva']
"Teatro e Cultura Popular, módulo 2",2005,['Narciso Larangeira Telles da Silva']
Oficina de Teatro de Rua,2006,['Narciso Larangeira Telles da Silva']
Aula-espetáculo: a improvisação como forma de construção de cena em teatro de rua,2006,['Narciso Larangeira Telles da Silva']
Oficina Os pontos de atenção como procedimentos de criação e jogo,2008,['Narciso Larangeira Telles da Silva']
"Oficina: encenando na rua, uma visão contemporânea do teatro",2008,['Narciso Larangeira Telles da Silva']
Os pontos de atenção como elementos de criação em teatro,2008,['Narciso Larangeira Telles da Silva']
Mini curso 'práticas teatrais em sala de aula',2013,['Narciso Larangeira Telles da Silva']
Teoria Teatral,1997,['Narciso Larangeira Telles da Silva']
O ator no teatro de rua,1999,['Narciso Larangeira Telles da Silva']
Expressão teatral para não atores,1999,['Narciso Larangeira Telles da Silva']
Historicidade do texto e da cena: apontamentos para uma história do espetáculo,1999,['Narciso Larangeira Telles da Silva']
Abordagem de textos com jogos teatrais,2001,['Narciso Larangeira Telles da Silva']
Expressão teatral para não atores,2000,['Narciso Larangeira Telles da Silva']
