COURSE,YEAR,INTEGRANTES
Pré ação e ação poética,2001,['Maria Beatriz Braga Mendonça']
Atuação poética (Ações físicas),2000,['Maria Beatriz Braga Mendonça']
Ação teatral: consciência e criação,2002,['Maria Beatriz Braga Mendonça']
O texto na prática teatral,1996,['Maria Beatriz Braga Mendonça']
Pré-ação e ação poética,2002,['Maria Beatriz Braga Mendonça']
Técnicas de dramatização (I Seminário sobre práticas pedagógicas),1995,['Maria Beatriz Braga Mendonça']
Turandot-peça conferência na Semana Internacional Bertolt Brecht,1996,['Maria Beatriz Braga Mendonça']
Atuação cênica contemporânea: treinamento para atuação performativa,2012,['Maria Beatriz Braga Mendonça']
"Teatro físico, mímica corporal dramática e o fazer contemporâneo do ator",2013,"['Maria Beatriz Braga Mendonça', 'Alexandre Brum Correa']"
Me segura que eu vou dar um troço: jogos cênicos para professores,2013,['Maria Beatriz Braga Mendonça']
Treinamento do ator: ênfase na pesquisa em artes cênicas,2015,['Maria Beatriz Braga Mendonça']
Corpo-máscara: inovações e transformações na arte da cena expandida,2017,['Maria Beatriz Braga Mendonça']
Atuação contemporânea (criação de ações poéticas e direção cênica),2007,['Maria Beatriz Braga Mendonça']
Ação poética na cidade,2005,['Maria Beatriz Braga Mendonça']
Atuação e espaços alternativos,2007,['Maria Beatriz Braga Mendonça']
Atuação cênica contemporânea: corpo e emoção,2012,['Maria Beatriz Braga Mendonça']
