PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
EDUCAÇÃO ESTÉTICA: a apropriação das influências escolanovistas na educação brasileira,2015,2016,PESQUISA,"['Marilene Oliveira Almeida', 'Alessandra do Prado Cunha e Silva', 'Lilian Sipoli Carneiro Cañete', 'JACQUELINE GONÇALVES DOS SANTOS', 'Christiane Campos de Araújo', 'Raphaela Maia Barbosa Couto', 'Agnes Maryane de Araujo Pereira', 'Cristina Alves Dias Lemos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
XXXV Encontro Anual Helena Antipoff,2017,2017,EXTENSAO,"['Marilene Oliveira Almeida', 'Regina Helena de Freitas Campos', 'Camila Jardim de Meira', 'Lilian Sipoli Carneiro Cañete', 'Christiane Campos de Araújo', 'Gabriela Carvalho Santos', 'Lívia Fernandes silva', 'SIlvia Luiz Augusto']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Iluminuras - ciclo de pensamento fotográfico - Fase 1 - LUMIAR: conversas fotográficas,2017,2017,EXTENSAO,"['Marilene Oliveira Almeida', 'Ana Carolina da Cruz Gomes', 'Ana Helena Álvares de Campos', 'Josué Sales Barbosa', 'Marllon Martins de Souza']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
PROPOSTAS DE EDUCAÇÃO ESTÉTICA: nos rastros de Louise Artus-Perrelet no Brasil,2018,2019,PESQUISA,"['Marilene Oliveira Almeida', 'Regina Helena de Freitas Campos', 'Amarílis Coelho Coragem', 'Lilian Sipoli Carneiro Cañete', 'Christiane Campos de Araújo', 'Ana Carolina da Cruz Gomes', 'Gabriel Araújo Fernandes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
II Jornada Pedagógica - Diversidade em foco: Experiências e Saberes,2016,2016,EXTENSAO,"['Marilene Oliveira Almeida', 'Lilian Sípoli Cañete', 'Elizabeth Dias Munaier Lages', 'Ricardo Ribeiro Martins', 'Camila Jardim de Meira', 'Christiane Campos de Araújo', 'Alexandra Vieira Sturzeneker', 'PATRICIA Karla Soares Santos Dorotéio']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Seminários de Pesquisa,2015,2017,OUTRA,"['Marilene Oliveira Almeida', 'Elizabeth Dias Munaier Lages', 'Ricardo Ribeiro Martins', 'Camila Jardim de Meira', 'Lilian Sipoli Carneiro Cañete', 'Christiane Campos Araújo', 'PATRICIA Karla Soares Santos Dorotéio', 'Welessandra Aparecida Benfica']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Seminários de Estágio,2014,2017,OUTRA,"['Marilene Oliveira Almeida', 'Ricardo Ribeiro Martins', 'Camila Jardim de Meira', 'Christiane Campos de Araújo', 'PATRICIA Karla Soares Santos Dorotéio']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
O Cortejo,2014,2014,EXTENSAO,['Marilene Oliveira Almeida'],['SIM']
ARTUS-PERRELET E O ENSINO DE ARTE NA ESCOLA DE APERFEIÇOAMENTO DE PROFESSORES DE BELO HORIZONTE,2016,2018,PESQUISA,"['Marilene Oliveira Almeida', 'Regina Helena de Freitas Campos', 'Amarílis Coelho Coragem', 'Gabriela Carvalho Santos', 'Lívia Fernandes silva', 'SIlvia Luiz Augusto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
PROJETO DE EDUCAÇÃO INTEGRAL NO POLO FUNDAÇÃO HELENA ANTIPOFF: diálogos com a perspectiva educacional antipoffiana,2016,2017,PESQUISA,"['Marilene Oliveira Almeida', 'Regina Helena de Freitas Campos', 'Camila Jardim de Meira', 'Christiane Campos Araújo', 'Adriana Otoni Silva Antunes Duarte', 'Maria de Fátima Pio Cassemiro', 'Raphaela Maia Barbosa Couto', 'Agnes Maryane de Araujo Pereira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
