COURSE,YEAR,INTEGRANTES
"Ministrou oficina teatral na Biblioteca Pública do Paraná, entre os meses de setembro e novembro, na cidade de Curitiba, que resultou no espetáculo ?Na Carreira: Liberdade, Utopia e Traição?, apresentado no mês de novembro/2010.",2010,"['Cleber Rodrigo Braga de Oliveira', 'Rafael Siqueira de Guimarães']"
"Ministrou Oficinas, como parte do programa Paraná Fazendo Arte, uma parceria da Secretaria de Cultura do Estado do Paraná e o Ministério da Cultura (FUNARTE), nos município de  Paulo Frontim, no mês de março de 2010.",2010,['Cleber Rodrigo Braga de Oliveira']
"Ministrou Oficinas, como parte do programa Paraná Fazendo Arte, uma parceria da Secretaria de Cultura do Estado do Paraná e o Ministério da Cultura (FUNARTE), no município de Assis Chateubriand , durante o mês de  abril.",2010,['Cleber Rodrigo Braga de Oliveira']
"Integrou o projeto ?Linha do Tempo Livre?, promovido pela Secretaria  de Esporte e Lazer do Estado do Paraná, ministrando oficinas de teatro para crianças e adolescentes de diversas comunidades do litoral paranaense. Dentro deste mesmo projeto, atuou no espetáculo ?Café Literário?, apresentado num ônibus itinerante por diversas praias do litoral paranaense e na cidade de Curitiba.",2008,['Cleber Rodrigo Braga de Oliveira']
workshop de teatro brasileiro,2012,['Cleber Rodrigo Braga de Oliveira']
Teatro Cidadão,2015,['Cleber Rodrigo Braga de Oliveira']
Teatro e Subjetividade,2014,['Cleber Rodrigo Braga de Oliveira']
Teatro e Processos Grupais,2011,['Cleber Rodrigo Braga de Oliveira']
Cultura e Identidade brasileira,2015,"['Cleber Rodrigo Braga de Oliveira', 'Rafael Siqueira de Guimarães']"
É Fogo Na Pipoca!,2015,"['Cleber Rodrigo Braga de Oliveira', 'Rafael Siqueira de Guimarães']"
"Burlas Brasileiras: Revista, rebolado e Cabaré",2017,['Cleber Rodrigo Braga de Oliveira']
Prática de Teatro,2014,['Cleber Rodrigo Braga de Oliveira']
