PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Pesquisa a cerca do teatro didático de Bertolt Brecht,1997,1998,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Daniela Gomes', 'Magno Bucci']","['SIM', 'NAO', 'NAO']"
Entre a vanguarda e o popular: análises teatrais entre texto e cena no Brasil de 1958 a 1968 - FASE 1 - Teatro e Política no Brasil antes e depois de 1964.,2012,2016,PESQUISA,['Berilo Luigi Deiró Nosella'],['SIM']
"TUI - Teatro, Universidade e Informação",2013,2014,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Prof. Wilson de Oliveira', 'Bruna Christófaro Matosinhos', 'Priscila Borges']","['NAO', 'NAO', 'SIM', 'NAO']"
Não Lugares: tentativa de compreender as relações de força entre sujeito e cultura,2012,2013,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Rogério Santos de Oliveira', 'Elvina Maria Caetano Pereira']","['NAO', 'SIM', 'NAO']"
"TUI - Teatro, Universidade e Informação",2011,2013,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Rogério Santos de Oliveira', 'Acevesmoreno Flores Piegaz', 'Bruna Christófaro Matosinhos', 'Davi de Oliveira Pinto', 'Priscila Borges']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
"Arte, Educação e Cidadania",2009,2010,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira']","['NAO', 'SIM']"
Capocomicato e metateatro: o fazer e o pensamento da iluminação na dramaturgia pirandelliana,2017,2018,PESQUISA,['Berilo Luigi Deiró Nosella'],['SIM']
"Ferreira Gullar em cena: história, teatro e os sentidos da ação política - Projeto contemplado no Edital 03/2012 Programa Pesquisador Mineiro VI",2012,2014,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Kátia Rodrigues Paranhos', 'Vera Regina Martins Collaço', 'Adalberto Paranhos', 'Sandra Alves Fiuza', 'Maria do Perpétuo Socorro Calixto Marques', 'Evelyn Furquim Werneck Lima', 'Heloísa Mafalda Benante', 'Elidiane Silva Ferreira']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"O Teatro de Dias Gomes: Comunistas, Engajamento e Criação Cultural no Brasil Contemporâneo",2014,2016,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Kátia Rodrigues Paranhos']","['NAO', 'SIM']"
Dias Gomes e Jorge Andrade em Cena: análises dos processos históricos de modernização da cena brasileira - FASE 2 do projeto integrado - Entre a vanguarda e o popular: análises teatrais entre texto e cena no Brasil de 1958 a 1968.,2015,2018,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira', 'Claudio Guilarduci', 'Letícia Gouvêa Issene', 'Elen de Medeiros', 'Larissa de Oliveira Neves Catalão', 'Fabiana Siqueira Fontana', 'Alberto Ferreira da Rocha Junior']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
As formas do político na cena contemporânea brasileira,2014,2018,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Jose Fernando Peixoto de Azevedo', 'Carina Maria Guimarães Moreira', 'Camilla Agostini', 'Antonio Apolinário']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
A cena política,2016,2018,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira']","['NAO', 'SIM']"
"Da ideia à luz: portal de difusão e divulgação sobre profissionais, mercado e conhecimento sobre iluminação cênica no Brasil.",2020,ATUAL,EXTENSAO,"['Berilo Luigi Deiró Nosella', 'Rodrigo Costa Assis', 'Marcelo Augusto Santana', 'Wallace Rios de Oliveira']","['SIM', 'NAO', 'NAO', 'NAO']"
"A documentação da iluminação cênica como modo de fazer, formação e transmissão de conhecimentos.",2022,ATUAL,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Guilherme Bonfanti', 'Elizabeth R. Azevedo', 'Cristina Grazioli', 'Eduardo Augusto da Silva Tudella', 'Cibele Forjaz Simões', 'Gonzalo Córdova', 'Rosana Aparecida Pimenta', 'Fabiana Siqueira Fontana', 'Karina Figueredo Souza']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Capítulos de história da iluminação cênica: linhagens históricas e modos de fazer da iluminação na cena,2021,ATUAL,PESQUISA,['Berilo Luigi Deiró Nosella'],['SIM']
Iluminação cênica e metateatro: o fazer e o pensamento da iluminação entre o real e o ficcional,2018,2021,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira', 'Alberto Ferreira da Rocha Junior', 'Eduardo Augusto da Silva Tudella', 'José Sávio Oliveira de Araújo', 'Cibele Forjaz Simões', 'Letícia Mendes de Oliveira (Letícia Andrade)', 'Camila Barbosa Tiago', 'Pedro Inácio Leonel', 'Ricardo Pereira Fidelis (Ricardo Ribeiro)']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Iluminação Cênica: um levantamento das empresas, equipes, instituições e profissionais no Brasil",2020,2022,PESQUISA,"['Berilo Luigi Deiró Nosella', 'Rosana Aparecida Pimenta']","['NAO', 'SIM']"
