COURSE,YEAR,INTEGRANTES
Oficina de Performance: Os papéis do Artista e do Professor,2018,['Fausto Borém']
Minicurso de Iniciação à Pesquisa em Música,2018,['Fausto Borém']
Análise Pós-Tonal - Curso de Especialização em Análise Musical - EMBAP,2005,['Fausto Borém']
Música de Câmara - Curso de Especialização em Música de Câmara- EMBAP,2005,['Fausto Borém']
Workshop de Baixo Acústico,2005,['Fausto Borém']
16º Festival Internacional de Música Antiga e Música Colonial Brasileira de Juiz de Fora,2005,['Fausto Borém']
ISB´s Amateurs Double Bass Ensembles,2005,['Fausto Borém']
5° Verões Musicais,2005,['Fausto Borém']
Curso de Aperfeiçoamento para o Naipe de Contrabaixos da Orquestra Sinfônica de Minas Gerais,2006,['Fausto Borém']
17º Festival Internacional de Música Antiga e Música Colonial Brasileira de Juiz de Fora,2006,['Fausto Borém']
Oficina de Contrabaixo para Compositores - COMPOMUS - UFPB,2006,"['Fausto Borém', 'Eli-Eri Moura']"
Masterclass de Contrabaixo - Escola de Música da UFPB,2006,"['Fausto Borém', 'Hector Jorge Rossi']"
18º Festival Internacional de Música Antiga e Música Colonial Brasileira de Juiz de Fora,2007,['Fausto Borém']
XV Festival de Música de Londrina,1995,['Fausto Borém']
Bass Fest  - International Double Bass Festival,2004,['Fausto Borém']
