TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"Teatro, Formação e Mercado de Trabalho: um retrato da atuação rpofissional do Egresso da Graduação em Teatro da Escola de Belas Artes/UFMG (2002/2009)",2012,Português,VAZIO,"['Rita Gusmão', 'Mariana de Lima e Muniz']","['1', '2']",['2']
Improvisação como espetáculo: processos de criação e metodologias de treinamento do ator-improvisador,2015,Português,VAZIO,['Mariana de Lima e Muniz'],['1'],['1']
"Pedagogia das Artes Cênicas: criança, jogo e formação",2016,Português,VAZIO,"['Mariana de Lima e Muniz', 'Tiago Cruvinel']","['1', '2']",['1']
Pedagogia das Artes Cênicas - criatividade e criação,2017,Português,VAZIO,"['Mariana de Lima e Muniz', 'Tiago Cruvinel']","['1', '2']",['1']
Arte de Perto,2017,Português,VAZIO,"['Maurilio Andrade Rocha', 'Mariana de Lima e Muniz', 'Rodrigo Vivas', 'Juliana Azoubel']","['1', '2', '3', '4']",['2']
Arte de Perto - Manual do Professor,2017,Português,VAZIO,"['Maurilio Andrade Rocha', 'Mariana de Lima e Muniz', 'Rodrigo Vivas', 'Juliana Azoubel']","['1', '2', '3', '4']",['2']
Rumos da Arte - Livro do Aluno - 6 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte - Manual do Professor - 6 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte - Livro do Aluno - 7 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte - Manual do Professor - 7 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte - Livro do aluno - 8 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte -Manual do Professor - 8 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte - Livo do aluno - 9 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Pereira']","['1', '2', '3', '4']",['1']
Rumos da Arte -Manual do Professor 9 ano,2018,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Rodrigo Vivas', 'Ana Cristina Carvalho Pereira']","['1', '2', '3', '4']",['1']
#Novo Ensino Médio - Linguagem e suas tecnologias (livro do estudante),2020,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Gabriela Christófaro']","['1', '2', '3']",['1']
#Novo Ensino Médio - Linguagem e suas tecnologias (manual do professor),2020,Português,VAZIO,"['Mariana de Lima e Muniz', 'Maurilio Andrade Rocha', 'Gabriela Christófaro']","['1', '2', '3']",['1']
