COURSE,YEAR,INTEGRANTES
Direção para Atores,2006,['Stela Regina Fischer']
Improvisação Teatral,2006,['Stela Regina Fischer']
Jogos e Cena,2007,['Stela Regina Fischer']
Palco Elisabetano,2009,['Stela Regina Fischer']
Oficina Teatro e Expressão: mulheres e vida,2015,"['Stela Regina Fischer', 'Leticia Olivares']"
Oficina Teatro e Expressão: mulheres e vida,2015,"['Stela Regina Fischer', 'Leticia Olivares']"
[des]velhecer: teatro para mulheres acima de 60 anos,2016,"['Stela Regina Fischer', 'Leticia Olivares']"
Corpos Manifestos,2018,"['Stela Regina Fischer', 'Leticia Olivares']"
Ações Poéticas decoloniais,2019,['Stela Regina Fischer']
[des]velhecer: reflexões sensório-cênicas sobre a mulher e o envelhecimento - Sesc Avenida Paulista,2020,"['Stela Regina Fischer', 'Leticia Olivares']"
Minicurso Artes da Cena e resistências feministas e Feminismos e mulheres artistas da performance latino-americana,2020,['Stela Regina Fischer']
História do Teatro Mundial,2009,['Stela Regina Fischer']
Expressões de gênero e empoderamento dos corpos na arte e na política sexual,2013,"['Leticia Olivares', 'Margarida Rauen', 'Stela Regina Fischer']"
