TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Investigando corpos íntegros e expressivos: um experimento de dança em contato com manifestações populares de Folia de Reis,2014,,Português,Cena em Movimento,XX,2178-2172,['Daniel Santos Costa'],['1'],['1'],-99
"Sincretizando o conhecimento na encruzilhada entre a cena, o sujeito e a oralidade popular brasileira",2015,,Português,Arte da Cena (Art on Stage),B1,2358-6060,['Daniel Santos Costa'],['1'],['1'],-99
Da oralidade popular brasileira a uma danc-a teatral performativa: o corpo po-s-colonial como lugar de experie-ncia,2016,10.20396/conce.v5i1.8647649,Português,Conceição/Conception Revista do Programa de Pós-graduação em Artes da Cena,A4,2317-5737,"['Daniel Santos Costa', 'Sayonara Pereira']","['1', '2']",['1'],-99
"Corpo, Imagem, Experiência - atravessamentos mnemônicos",2016,10.14393/RR-v3n1a2016-05,Português,Rascunhos - Caminhos da Pesquisa em Artes Cênicas,A4,2358-3703,['Daniel Santos Costa'],['1'],['1'],-99
Periferia de las artes y del pensamiento de una escena híbrida brasileña,2016,,Português,Investigación Teatral: Revistas de Artes Escénicas y Performatividad,XX,1665-8728,['Daniel Santos Costa'],['1'],['1'],-99
Encruzilhadas de um corpo pós-colonial: f(r)icção arte/vida na cena contemporânea,2016,10.5965/1414573102272016315,Português,Urdimento (UDESC),A1,1414-5731,"['Daniel Santos Costa', 'Sayonara Sousa Pereira']","['1', '2']",['1'],-99
O Corpo é uma Festa! reflexões em torno da oralidade popular brasileira,2016,,Português,ILINX REVISTA CIENTÍFICA DO LUME,C,2316-8366,['Daniel Santos Costa'],['1'],['1'],-99
A experiência performática no Giro de Folia de Reis,2017,10.14393/issn2358-3703.v4n3a2017-03,Português,RASCUNHOS - CAMINHOS DA PESQUISA EM ARTES CÊNICAS,A4,2358-3703,['Daniel Santos Costa'],['1'],['1'],-99
"CORPO, FESTA E PERFORMATIVIDADE: encruzilhadas e reflexões desde a oralidade popular brasileira",2017,,Português,MORINGA - ARTES DO ESPETÁCULO (UFPB),A3,2177-8841,"['Daniel Santos Costa', 'Sayonara Pereira']","['1', '2']",['1'],-99
CORPO-FESTA: uma proposta poético-político-pedagógica no contexto da educação básica,2018,10.14393/issn2358-3703.v5n3a2018-07,Português,RASCUNHOS - CAMINHOS DA PESQUISA EM ARTES CÊNICAS,A4,2358-3703,['Daniel Santos Costa'],['1'],['1'],-99
"ENTRECRUZANDO CORPOS, RAÍZES E MEMÓRIAS: ATRAVESSAMENTOS, EXPERIÊNCIAS E DESLOCAMENTOS NO ENCONTRO COM O OUTRO",2019,,Português,Linha Mestra,B3,1980-9026,"['Daniel Santos Costa', 'Tiago Samuel Bassani']","['1', '2']",['1'],-99
Inserção da dança no currículo dos Colégios de Aplicação,2021,10.5965/18083129152021e0026,Português,DAPESQUISA,A4,1808-3129,"['ALLEMAND, DÉBORA SOUTO', 'BONFIM, LARISSA VERBISCK ALCÂNTARA', 'RORIZ, MARLAINA FERNANDES', 'Daniel Santos Costa']","['1', '2', '3', '4']",['4'],-99
TESSITURAS DE UM PROCESSO CRIATIVO: AUTOBIOGRAFIA NA CENA,2015,10.14571/cets.v8i1.206,Português,"Cadernos de Educação, Tecnologia e Sociedade",B1,2316-9907,"['Daniel Santos Costa', 'Gracia Maria Navarro']","['1', '2']",['1'],-99
