TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Comparação biomecânica entre a posição sentada e ortostática durante atividade da coluna lombar,2003,,Português,Revista Ethos,XX,1679-9895,"['Álvaro César de Oliveira Penoni', 'João Paulo Barbosa']","['1', '2']",['1'],-99
The effect of passive stretching after diathermy by short waves and cryotherapy on hamstrings muscle flexibility on men,2008,,Inglês,The FIEP Bulletin,XX,0256-6419,"['Nathália E. C. Murad', 'Álvaro César de Oliveira Penoni', 'Carla Maria Bueno Magalhães']","['1', '2', '3']",['2'],-99
"Nível socioeconômico e hábitos de vida familiares na incidência de obesidade infantil em escola pública e perticular da cidade de Pouso Alegre, MG",2009,,Português,Coleção Pesquisa em Educação Física,A4,1981-4313,"['Daniela Mendes dos Reis Riccardi', 'Luiz Augusto Pereira Vasques', 'Danielle Bernardes Amorim', 'Álvaro César de Oliveira Penoni']","['1', '2', '3', '4']",['4'],-99
Mechanical Analysis of Muscle Tissue Under Influence of Hormones,2013,,Português,Procedia Engineering,NP,1877-7058,"['Gabriela Resende Yanagihara', 'Álvaro César de Oliveira Penoni', 'Ricardo Cunha Bernardes', 'Antônio Carlos Shimano']","['1', '2', '3', '4']",['2'],-99
INFLUÊNCIA DA ADMINISTRAÇÃO DE ETINILESTRADIOL E LEVONORGESTREL NAS PROPRIEDADES MECÂNICAS DO LIGAMENTO CRUZADO POSTERIOR E TÍBIA,2012,,Português,Revista Brasileira de Biomecânica (Impresso),XX,1518-8191,"['Gabriela Resende Yanagihara', 'Álvaro César de Oliveira Penoni', 'Ricardo Cunha Bernardes', 'Antônio Carlos Shimano', 'Aline Goulart de Paiva', 'Rodrigo César Rosa']","['1', '2', '3', '4', '5', '6']",['2'],-99
Efeitos da administração em longo prazo do omeprazol sobre a densidade mineral óssea e as propriedades mecânicas do osso,2014,10.1016/j.rbo.2014.05.012,Português,Revista Brasileira de Ortopedia (Impresso),B2,0102-3616,"['YANAGIHARA, GABRIELA REZENDE', 'DE PAIVA, ALINE GOULART', 'NETO, MAURÍLIO PACHECO', 'TORRES, LARISSA HELENA', 'SHIMANO, ANTÔNIO CARLOS', 'LOUZADA, MÁRIO JEFFERSON QUIRINO', 'ANNONI, RAQUEL', 'Álvaro César de Oliveira Penoni']","['1', '2', '3', '4', '5', '6', '7', '8']",['8'],-99
Effects of simvastatin associated with exercise on the mechanical resistance of muscle and bone in rats,2017,,Português,Revista Brasileira de Ortopedia,B2,0102-3616,"['Jéssica Yamanaka Suzuki', 'Kaíque Eduardo Carvalho Ribeiro', 'Gabriela Rezende Yanagihara', 'Antônio Carlos Shimano', 'Álvaro César de Oliveira Penoni']","['1', '2', '3', '4', '5']",['5'],-99
Efeitos da sinvastatina associada ao exercício físico na resistência mecânica de músculos e ossos de ratos,2017,10.1016/j.rbo.2017.05.017,Português,Revista Brasileira de Ortopedia,B2,0102-3616,"['YAMANAKA, JÉSSICA SUZUKI', 'RIBEIRO, KAIQUE EDUARDO CARVALHO', 'YANAGIHARA, GABRIELA REZENDE', 'SHIMANO, ANTÔNIO CARLOS', 'Álvaro César de Oliveira Penoni']","['1', '2', '3', '4', '5']",['5'],-99
A low-cost wireless system of inertial sensors to postural analysis during human movement,2019,10.1016/j.measurement.2019.106933,Inglês,MEASUREMENT,A2,0263-2241,"['SANTOS, TALYSSON M.O.', 'BARROSO, MÁRCIO F.S.', 'RICCO, RODRIGO A.', 'NEPOMUCENO, ERIVELTON G.', 'ALVARENGA, ÉRIKA L.F.C.', 'Álvaro César de Oliveira Penoni', 'SANTOS, ANA F.']","['1', '2', '3', '4', '5', '6', '7']",['6'],-99
"Efeitos do Pole Dance Fitness na percepção de dor, na composição corporal, na força e na atividade mioelétrica de músculos estabilizadores lombopélvicos de um indivíduo com lombalgia - Estudo de caso",2021,,Português,REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO,B3,1981-9900,"['Giullia Gabriele Alves Chaves', 'Álvaro César de Oliveira Penoni']","['1', '2']",['2'],-99
Musical and biofeedback stimulus increased performance during upper limb  resistance exercises,2019,,Inglês,JOURNAL OF PHYSICAL EDUCATION AND SPORT,B3,2247-806X,"['Álvaro César de Oliveira Penoni', 'Anderson Meireles Silva', 'Nicholas Eduardo Silva Cunha', 'Rhaí André Arriel', 'Marco antônio Cavalcanti Garcia', 'Moacir Marocolo']","['1', '2', '3', '4', '5', '6']",['1'],-99
Effects of long-term administration of omeprazole on bone mineral density and the mechanical properties of the bone,2015,10.1016/j.rboe.2015.03.002,Inglês,Revista Brasileira de Ortopedia (English Edition),XX,2255-4971,"['Gabriela Resende Yanagihara', 'Antônio Carlos Shimano', 'Álvaro César de Oliveira Penoni', 'Ricardo Cunha Bernardes']","['1', '2', '3', '4']",['3'],-99
