COURSE,YEAR,INTEGRANTES
Vivências Corporais através da Dança - Maio/2008,2008,['Daniel Santos Costa']
Consciência Corporal,2010,['Daniel Santos Costa']
OFICINA DE JONGO,2010,"['Daniel Santos Costa', 'Rogério Adolfo de Moura']"
Jongo e Cultura Popular,2010,"['Daniel Santos Costa', 'Rogério Adolfo de Moura']"
Preparação Corporal para a Cena,2011,['Daniel Santos Costa']
Ateliê de Criação - o corpo íntegro e expressivo,2011,['Daniel Santos Costa']
Vivências Corporais através da Dança - Junho/2008,2008,['Daniel Santos Costa']
Dança Brasileira,2010,['Daniel Santos Costa']
"Dança, Técnica e Criação Coreográfica",2010,['Daniel Santos Costa']
Improvisação e Criação Cênica,2010,['Daniel Santos Costa']
Alongamento Corporal,2010,['Daniel Santos Costa']
Elementos Técnicos do Corpo,2010,['Daniel Santos Costa']
A construção do corpo íntegro e expressivo,2010,['Daniel Santos Costa']
Dança (Preparação Corporal de Atores),2010,['Daniel Santos Costa']
Preparação corporal de elenco - expressão corporal,2009,"['Daniel Santos Costa', 'Baptistella, Rosana']"
Vivências Corporais através da Dança - Julho/2008,2008,['Daniel Santos Costa']
Curso de Expressão Corporal para Adultos,2015,['Daniel Santos Costa']
"Corpos Emblemas, corporalidades ou lugares da memória",2017,"['Daniel Santos Costa', 'Getúlio Gois']"
Práticas corporais na escola: experiências em movimento,2017,"['Daniel Santos Costa', 'Patricia Chavarelli Vilela da Silva']"
Oficina de Teatro - jogos e expressão corporal,2017,['Daniel Santos Costa']
Criação de máscaras performativas,2017,"['Daniel Santos Costa', 'Getúlio Gois']"
"GT - Educação Estética, Cultural e Política",2017,"['Daniel Santos Costa', 'Mariza Barbosa', 'Getúlio Gois', 'Mara Rúbia de Almeida Colli']"
Danças Populares Brasileiras,2017,"['Daniel Santos Costa', 'Ana Paula Ibañez']"
Vivências Corporais através da Dança - Agosto/2008,2008,['Daniel Santos Costa']
Corpos emblemas ou lugares da memória,2019,"['Daniel Santos Costa', 'Ana Paula Ibañez', 'Baptistella, Rosana']"
Corpos emblemas ou lugares da memória,2019,"['Daniel Santos Costa', 'Ana Paula Ibañez', 'Baptistella, Rosana']"
Consiência Corporal - Maio/2009,2009,['Daniel Santos Costa']
Danças Populares - Abril à Junho/2009,2009,['Daniel Santos Costa']
Workshop de Dança - Projeto Corpo de Mestre; Corpo de Aprendiz,2009,['Daniel Santos Costa']
Dança Brasileira e Preparação Corporal de Atores,2010,['Daniel Santos Costa']
Dança Brasileira e Preparação Corporal,2010,['Daniel Santos Costa']
Oficina de Frevo,2013,"['Daniel Santos Costa', 'Baptistella, Rosana', 'Tiago Samuel Bassani', 'Leandro de Souza']"
