COURSE,YEAR,INTEGRANTES
Ensino de arte,2004,"['Elsieni Coelho da Silva', 'Léa Carneiro Zumpano França']"
Realimentação da prática do educador em arte/98 de 5ª a 8º série,1998,['Elsieni Coelho da Silva']
Artes Visuias,1999,['Elsieni Coelho da Silva']
Processo de criação,2005,['Elsieni Coelho da Silva']
Visitas orientadas,1998,"['Elsieni Coelho da Silva', 'HELIO DE LIMA', 'Déborah Borges']"
O desenho na educação infantil,2004,['Elsieni Coelho da Silva']
"Workshop de 4h sobre 'Processo de Criação em Artes Visuais', no III colóquio de Artes e Educação, na Escola de tempo Intgegral CFE. Almirante Tamandaré, no dia 03/10/2018",2018,"['Elsieni Coelho da Silva', 'ROBERTA MAIRA MELO']"
Arte e meio ambiente - Projeto Rio Uberabinha,2004,['Elsieni Coelho da Silva']
