COURSE,YEAR,INTEGRANTES
"Módulo de Processo Colaborativo, ministrado no Curso de Especialização em Direção Teatral (2012). Faculdade Dulcina de Moraes (Brasília/DF). Produção vinculada aos Estudos de Doutoramento 'Tecido de vozes: texturas polifônicas na cena contemporânea mineira', realizados no Departamento de Artes Cênicas da ECA/USP, sob a orientação da Prof. Dra. Sílvia Fernandes da Silva Telesi.",2010,"['Antônio Araújo', 'Elvina Maria Caetano Pereira', 'Tiche Vianna', 'Francisco Medeiros']"
"Como se fabrica uma Mulher? workshop realizado durante o evento 'Ocupação Feminista: Arte Feita por Mulheres', organizada por Projeto Madalenas, Coletivo Menos Pausa e Obscena Agrupamento",2013,"['Projeto Madalenas: Teatro das Oprimidas', 'Coletivo Menos Pausa', 'Obscena agrupamento independente de pesquisa cênica', 'Elvina Maria Caetano Pereira']"
Como se Fabrica uma Mulher? oficina realizada em parceria com a II Bienal Internacional de Teatro da USP,2015,['Elvina Maria Caetano Pereira']
"Performance de Rua e Intervenções Urbanas. Oficina vinculada ao Projeto Docente 'Corpos Estranhos, Espaços de Resistência', 2ª parte do Projeto Integrado ESTUDOS DA PERFORMATIVIDADE.",2015,['Elvina Maria Caetano Pereira']
"Tatuagens Urbanas: inscrições no corpo da cidade. Oficina vinculada ao Projeto Docente 'Corpos Estranhos, Espaços de Resistência', 2ª parte do Projeto Integrado ESTUDOS DA PERFORMATIVIDADE.",2015,"['Elvina Maria Caetano Pereira', 'OBSCENA agrupamento independente de pesquisa cênica', 'Clóvis Domingos dos Santos', 'Paulo Ricardo Maffei de Araújo', 'Matheus Silva']"
Como se Fabrica uma Mulher? Oficina realizada no Festival De|generadas² - SESC Santana,2016,['Elvina Maria Caetano Pereira']
"Tatuagens Urbanas. Oficina vinculada ao Projeto Docente 'Corpos Estranhos, Espaços de Resistência', 2ª parte do Projeto Integrado ESTUDOS DA PERFORMATIVIDADE.",2017,"['Obscena agrupamento independente de pesquisa cênica', 'Elvina Maria Caetano Pereira', 'Clóvis Domingos dos Santos', 'Lissandra Guimarães', 'Frederico Alves Caiafa', 'Matheus Silva']"
"Manifesto para uma Revolução. Oficina vinculada ao Projeto Docente 'Corpos Estranhos, Espaços de Resistência', 2ª parte do Projeto Integrado ESTUDOS DA PERFORMATIVIDADE.",2018,['Elvina Maria Caetano Pereira']
"Oficina Escritas Performadas: dramaturgias da performance. Oficina vinculada ao Projeto Docente 'Corpos Estranhos, Espaços de Resistência', 2ª parte do Projeto Integrado ESTUDOS DA PERFORMATIVIDADE.",2018,['Elvina Maria Caetano Pereira']
"PO-ÉTICAS DE RE-EXISTÊNCIA. Workshop vinculado ao Projeto Docente 'Corpos Estranhos, Espaços de Resistência', 2ª parte do Projeto Integrado ESTUDOS DA PERFORMATIVIDADE.",2019,['Elvina Maria Caetano Pereira']
"Oficina Tramas Texto Cena, realizada em Vitória/ES (2008), a convite da Secretaria Estadual de Educação do Espírito Santo, para capacitação de professores. Produção vinculada aos Estudos de Doutoramento 'Tecido de vozes: texturas polifônicas na cena contemporânea mineira', realizados no Departamento de Artes Cênicas da ECA/USP, sob a orientação da Prof. Dra. Sílvia Fernandes da Silva Telesi.",2008,"['Elvina Maria Caetano Pereira', 'Lissandra Guimarães']"
"Oficina Tramas Texto Cena, realizada a convite do Fórum das Artes 2008: Festival de Inverno de Ouro Preto e Mariana. Produção vinculada aos Estudos de Doutoramento 'Tecido de vozes: texturas polifônicas na cena contemporânea mineira', realizados no Departamento de Artes Cênicas da ECA/USP, sob a orientação da Prof. Dra. Sílvia Fernandes da Silva Telesi.",2008,"['Elvina Maria Caetano Pereira', 'Lissandra Guimarães']"
"Workshop 'Como se fabrica uma mulher?', promovido pelo Obscena Agrupamento como parte da residência artística no Centro Cultural da UFMG (2009). Produção vinculada ao Projeto Docente 'Às margens do feminino: texturas teatrais da beira', patrocinado pelo Fundo de Projetos Culturais da FMC/PMBH.",2009,"['Elvina Maria Caetano Pereira', 'Lissandra Guimarães']"
"Processos de criação colaborativa. Oficina vinculada ao Projeto Docente 'Dramaturgia da cena e autoria compartilhada: a experiência colaborativa no âmbito do Projeto Cena 3x4'. Oficina ministrada em 2006, em parceria com o Circuito Off, em Belo Horizonte/MG",2006,"['Elvina Maria Caetano Pereira', 'Lenine Martins', 'Lissandra Guimarães', 'Ricardo Garcia', 'Ines Linke', 'Amaury Borges']"
"Processos de criação colaborativa. Oficina vinculada ao Projeto Docente 'Dramaturgia da cena e autoria compartilhada: a experiência colaborativa no âmbito do Projeto Cena 3x4'. Realizada, a convite do Festival de Inverno da UFMG, em Diamantina/MG, em 2004.",2004,"['Elvina Maria Caetano Pereira', 'Lissandra Guimarães', 'Lenine Martins', 'Ricardo Garcia', 'Ines Linke', 'Amaury Borges']"
"Processos de criação colaborativa. Oficina vinculada ao Projeto Docente 'Dramaturgia da cena e autoria compartilhada: a experiência colaborativa no âmbito do Projeto Cena 3x4'. Realizada a convite do Fórum das Artes de Ouro Preto, em Ouro Preto/MG, em 2004.",2004,"['Elvina Maria Caetano Pereira', 'Lissandra Guimarães', 'Lenine Martins', 'Ricardo Garcia', 'Ines Linke', 'Amaury Borges']"
Dramaturgia da Cena,2009,['Elvina Maria Caetano Pereira']
"Oficina Tramas Texto Cena, realizada a convite do Festival de Inverno da UFMG, em Diamantina/MG (2009). Produção vinculada aos Estudos de Doutoramento 'Tecido de vozes: texturas polifônicas na cena contemporânea mineira', realizados no Departamento de Artes Cênicas da ECA/USP, sob a orientação da Prof. Dra. Sílvia Fernandes da Silva Telesi.",2009,"['Elvina Maria Caetano Pereira', 'Lissandra Guimarães']"
