COURSE,YEAR,INTEGRANTES
"Cultura, Marketing e Cidadania",2001,['José Márcio Pinto de Moura Barros']
Projetos Culturais Mitos e realidades,2002,['José Márcio Pinto de Moura Barros']
Desenvolvimento e gestão Cultural,2005,['José Márcio Pinto de Moura Barros']
Desenvolvimento e Gestão Cultural,2007,['José Márcio Pinto de Moura Barros']
"Ensino e pesquisa no campo da arte, cultura e educação",2007,['José Márcio Pinto de Moura Barros']
Desenvolvimento e Gestão Cultural,2003,['José Márcio Pinto de Moura Barros']
"Cultura, Cidadania e desenvolvimento",2003,['José Márcio Pinto de Moura Barros']
Semana de gestão cultural,2011,['José Márcio Pinto de Moura Barros']
"Oficina Casas, quintais e memórias: uma incursão pelo espaço do vivido e da diversidade",2013,"['José Márcio Pinto de Moura Barros', 'Marcia Betânia de Oliveira Horta']"
Pensar e Agir com a Cultura,2016,['José Márcio Pinto de Moura Barros']
A gestão cultural sob uma perspectiva antropológica,2016,"['José Márcio Pinto de Moura Barros', 'Ana Beatriz Nogueira Pereira']"
Oficina de Projetos,2016,['José Márcio Pinto de Moura Barros']
Mapeamento da diversidade cultural,2012,"['José Márcio Pinto de Moura Barros', 'Jose Oliveira Jr']"
