TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
O canto espontâneo da criança de zero a seis anos: dos balbucios às canções transcendentes,2006,,Português,Revista da ABEM,A2,1518-2630,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
Resenha: Ensino de Música - propostas para pensar e agir em sala de aula,2004,,Português,Per Musi (UFMG),C,1517-7599,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
Literatura comentada,1994,,Português,Cadernos de Estudo. Educação Musical,XX,0103-6521,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
O trabalho de musicalização do Núcleo Villa-lobos de Educação Musical,1991,,Português,Cadernos de Estudo. Educação Musical,XX,0103-6521,"['Maria Betânia Parizzi Fonseca', 'Rosa Lúcia dos Mares Guia']","['1', '2']",['1'],-99
Pianobrincando - a história de um livro,1994,,Português,Musicahoje,XX,0104-5423,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago']","['1', '2']",['1'],-99
Poemas Musicais - uma análise,2007,,Português,Per Musi (UFMG),C,1517-7599,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
Serie Poemas Musicais de Cecilia Cavalieri: uma análise,2007,,Português,Per Musi (UFMG),C,1517-7599,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
Arte e interdiscipliaridade na Escola de Músoica da UEMG: uma análise da produção científica de 2007.,2009,,Português,Educação em Foco (Belo Horizonte),A4,1519-3322,"['Gisele Marino', 'Maria Betânia Parizzi Fonseca', 'Thaís Marques']","['1', '2', '3']",['2'],-99
Parentalidade intuitiva e musicalidade comunicativa: conceitos fundantes da educação musical no primeiro ano de vida,2011,,Português,Revista da ABEM,A2,1518-2630,"['Aline Nunes Carneiro', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2'],-99
As relações dos efeitos terapêuticos da Musicoterapia Improvisacional e o desenvolvimento musical de crianças com autismo,2015,,Português,NUPEART,XX,2358-0925,"['Marian Horta Freire', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2'],-99
O bebê e o tempo,2015,,Português,Revista Linguagem,XX,2446-7669,"['Maria Betânia Parizzi Fonseca', 'João Gabriel Marques Fonseca']","['1', '2']",['1'],-99
Compondo o silêncio com John Cage,2017,,Português,Revista Linguagem,XX,2446-7669,"['Maria Betânia Parizzi Fonseca', 'João Gabriel Marques Fonseca']","['1', '2']",['1'],-99
O desenvolvimento musical de crianças com autismo em Musicoterapia: revisão de literatura e relato de caso,2018,10.5965/2525530403012018145,Português,ORFEU,A1,2525-5304,"['FREIRE, MARINA HORTA', 'MARTELLI, JÉSSICA', 'ESTANISLAU, GABRIEL', 'Maria Betânia Parizzi Fonseca']","['1', '2', '3', '4']",['4'],-99
"Validação da Escala de Desenvolvimento Musical de Crianças com Autismo (DEMUCA): análise semântica, interexaminadores, consistência interna e confiabilidade externa",2019,10.20504/opus2019c2508,Português,OPUS (BELO HORIZONTE. ONLINE),XX,1517-7017,"['FREIRE, MARINA', 'MARTELLI, JÉSSICA', 'SAMPAIO, RENATO', 'Maria Betânia Parizzi Fonseca']","['1', '2', '3', '4']",['4'],-99
A música (muito) além da música,2020,,Português,Pista,XX,2674-6727,"['João Gabriel Marques Fonseca', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2'],-99
Educação Musical no início da vida: potencializando o eterno retorno,2021,,Português,RELADEI  - REVISTA LATINO AMERICANA DE EDUCACIÓN INFANTIL,B4,2255-0666,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
Um novo paradigma sobre o bebê,2021,,Português,Revista Criança,XX,2764-1864,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
"Musicoterapia Improvisacional Musicocentrada e Crianças com Autismo: Relações entre Desenvolvimento Musical, Ganhos Terapêuticos e a Teoria da Musicalidade Comunicativa",2021,10.5216/mh.v21.62311,Português,MÚSICA HODIE,A1,1676-3939,"['Marina Horta Freire', 'Maria Betânia Parizzi Fonseca', 'Jéssica Martelli', 'Renato Tocantins Sampaio']","['1', '2', '3', '4']",['2'],-99
Música e autismo: um relato de experiência entre a musicoterapia e a educação musical especial,2017,,Português,REVISTA BRASILEIRA DE MUSICOTERAPIA,XX,2316-994X,"['Marina Horta Freire', 'Gleisson do Carmo Oliveira', 'Maria Betânia Parizzi Fonseca']","['1', '2', '3']",['3'],-99
Autismo e Escola de Música: esta relação é possível?,2019,,Português,Revista Criança,XX,2764-1864,['Maria Betânia Parizzi Fonseca'],['1'],['1'],-99
