TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Educação Musical para o adolescente,1997,,Português,Musicahoje,XX,0104-5423,['Jussara Rodrigues Fernandino'],['1'],['1'],-99
A codificação da criação musical infantil: estruturação versus vitalidade criativa,2000,,Português,Musicahoje,XX,0104-5423,['Jussara Rodrigues Fernandino'],['1'],['1'],-99
Escuta e interação cênica,2011,,Português,Ouvirouver (Online),XX,1983-1005,['Jussara Rodrigues Fernandino'],['1'],['1'],-99
Ejes indicadores de la interacción escénico musical,2016,,Espanhol,Telondefondo (Buenos Aires),B3,1669-6301,['Jussara Rodrigues Fernandino'],['1'],['1'],-99
Som e Movimento em Fluxo,2020,10.31492/2184-2043.RILP2020.37/pp.33-46,Português,Revista Internacional em Lingua Portuguesa,B3,2182-4452,"['Rita Gusmão', 'Jussara Rodrigues Fernandino', 'Carolina Gualberto']","['1', '2', '3']",['2'],-99
A palavra em potência e musicalidade: contribuições da Educação Musical,2022,,Português,Revista Voz e Cena,XX,2675-4584,['Jussara Rodrigues Fernandino'],['1'],['1'],-99
