COURSE,YEAR,INTEGRANTES
Curso de Flauta na Escola Estadual Laura das Chagas,2003,['Marta Cardoso Castello Branco Garzon']
Curso de Flauta na Escola Estadual Laura das Chagas,2004,['Marta Cardoso Castello Branco Garzon']
Curso de Flauta na Escola Estadual Laura das Chagas,2005,['Marta Cardoso Castello Branco Garzon']
Curso de Música na Associação Cultural Terra dos Sonhos,2000,['Marta Cardoso Castello Branco Garzon']
Curso de Música na Associação Cultural Terra dos Sonhos,2001,['Marta Cardoso Castello Branco Garzon']
Curso de Música no Salão do Encontro,2007,['Marta Cardoso Castello Branco Garzon']
Curso de Música no Salão do Encontro,2008,['Marta Cardoso Castello Branco Garzon']
Oficina de Flauta no projeto &amp;quot;Tocando em Frente&amp;quot;,2008,['Marta Cardoso Castello Branco Garzon']
Masterclass de Flauta na UFAL,2012,"['Marta Cardoso Castello Branco Garzon', 'Flávio Ferréira.']"
Curso de Flauta na Escola Estadual Laura das Chagas,2002,['Marta Cardoso Castello Branco Garzon']
