COURSE,YEAR,INTEGRANTES
Orchestrating Brazilian Popular Repertoire,2015,"['Clifford Hill Korman', 'Gilson Peranzzetta']"
Jazz and Popular Music Ensembles,2018,['Clifford Hill Korman']
Jazz and Popular Music Ensembles,2018,"['Clifford Hill Korman', 'Jay Ashby', 'Jamey Haddad']"
Tocar na Banda,2014,['Clifford Hill Korman']
Piano Popular,2006,['Clifford Hill Korman']
"Música Instrumental Brasileira e Jazz americano-raises em comun, caminhos divergentes",2011,['Clifford Hill Korman']
Prática de Conjunto-36º Festival de Inverno da UFMG,2004,['Clifford Hill Korman']
Teclados-22º Curso Internacional de Verão da EMB,2000,['Clifford Hill Korman']
Teclados-23º Curso Internacional de Verão da EMB,2001,['Clifford Hill Korman']
"Conversaciones musicales:, swing, virtuosismo e improvisacion",2012,"['Clifford Hill Korman', 'Henrique Cazes']"
