TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"Artes Plásticas, Fluxo visual globalizado e mudanças na percepção. Sociedade Global: Cultura e Religião (org. Alberto Moreira) Petrópolis: Editora Vozes/USF, 1999 (2a. edição)",1999,Português,Vozes/ Universidade São Francisco,"['Maria Lucia Bueno Ramos', 'Gabriel Cohn', 'Jose Mario Ortiz Ramos', 'Jose Guilherme Magnani', 'Jose Jorge de Carvalho', 'Alberto Moreira']","['1', '2', '3', '4', '5', '6']",['1']
"Fluxo e contra-fluxos/Flow and Counterflows. Rede de Tensão(org. Daniela Bousso). São Paulo: Imprensa Oficial, 2001",2001,Português,Imprensa Oficial/Secretária de Estado da Cultura,"['Maria Lucia Bueno Ramos', 'Nicolau Sevcenko', 'Daniela Bousso', 'maria alice milliet', 'Tata Amaral', 'Annateresa Fabris']","['1', '2', '3', '4', '5', '6']",['1']
"O mundo a partir do Pernambuco/ Le monde vu du Pernambuco, Cícero Dias, décadas de 20 e 30 (org. Maria Izabel Branco Ribeiro)São Paulo: Faap, 2004.",2004,Português,Fundação Armando Alvares Penteado,"['Maria Lucia Bueno Ramos', 'maria izabel branco ribeiro', 'Mario de andrade', 'mario helio gomes de lima', 'murilo Mendes', 'Philippe Dagen', 'Gilberto Freyre']","['1', '2', '3', '4', '5', '6', '7']",['1']
"A modernidade, a pesquisa em artes e a sociologia da arte.em Arte em Pesquisa. Editora da UEL, Londrina",2005,Português,Eduel- editora da Universidade Estadual de Londrina,"['Maria Lucia Bueno Ramos', 'Annateresa Fabris', 'Tadeu Chiarelli', 'Marta Dantas', 'Kennedy Piau Ferreira', 'Elida Tessler']","['1', '2', '3', '4', '5', '6']",['1']
"Moda e Ciências Humanas, publicado como prefacio de Moda e seu papel social de Diana Crane",2006,Português,Editora Senac,['Maria Lucia Bueno Ramos'],['1'],['1']
Alta Costura e Alta Cultura. As revistas de luxo e a internacionalização da moda,2011,Português,Estação das Letras e Cores,['Maria Lucia Bueno Ramos'],['1'],['1']
&amp;quot;Arlindo Daibert: Imagens e Diálogos&amp;quot;,2011,Português,Edições Casa Rui Barbosa/UFJF/MAMM,['Maria Lucia Bueno Ramos'],['1'],['1']
Arte e mercado no Brasil em meados do século XX,2012,Português,Editora do senac,['Maria Lucia Bueno Ramos'],['1'],['1']
Les femmes de la Haute-couture. Mode et genre au début du XXème Siècle,2012,Português,L'Harmattan  (Logiques Sociales/Sociologie de L'Art),['Maria Lucia Bueno Ramos'],['1'],['1']
Gastronomia e Sociedade de Consumo. Tradições culturais brasileiras e estilos de vida na globalização cultural.,2013,Português,Folha Sêca,['Maria Lucia Bueno Ramos'],['1'],['1']
La condition d'artiste contemporain au Brésil. Entre l'université et le marché,2016,Português,Open Edition,"['Maria Lucia Bueno', 'Maria Lucia Bueno Ramos']","['1', '2']",['2']
A condição de artista contemporâneo no Brasil. entre a universidade e o mercado.,2016,Português,Open Edition Press,"['Maria Lucia Bueno', 'Maria Lucia Bueno Ramos']","['1', '2']",['2']
"Women's Haute Couture and modernization of fashion. Art, marketing and visual culture in the early twentieth century",2019,Inglês,"Universidade do Porto, Faculdade de Letras",['Maria Lucia Bueno Ramos'],['1'],['1']
Coleções e arquivos como agentes da mundialização. O caso da arte brasileira nas coleções latino-americanas nos Estados Unidos/ Collections and archives as agent of globalization. The case of brazilian art in latin-american collections in the United Stade,2020,Inglês,"Universidade Federal do Rio Grande do Sul, SESC , SP",['Maria Lucia Bueno Ramos'],['1'],['1']
Cultura e estilos de vida. publicado em Cultura e Consumo. Estilos de vida na contemporaneidade.(no prelo),2008,Português,Editora Senac,['Maria Lucia Bueno Ramos'],['1'],['1']
