PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Orquestra,1992,1992,OUTRA,"['Sérgio de Figueiredo Rocha', 'Tânia Mara Lopes Cançado']","['NAO', 'SIM']"
Projeto Creche das Rosinhas,1993,1993,EXTENSAO,"['Sérgio de Figueiredo Rocha', 'Claudiana S Pinheiro', 'Jacqueline S Diniz', 'Marília Carvalho', 'Mauro T Sobrinho', 'Paulo L Andrade', 'Renata Rangel', 'Sílvio H S Gouveia', 'Edson J Corrêa']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
Monitoria de Pediatria,1993,1994,OUTRA,"['Sérgio de Figueiredo Rocha', 'Paulo Augusto Moreira Camargos']","['NAO', 'SIM']"
Análise de Sobrevida e de fatores prognósticos na Fibrose Cística,1993,1994,PESQUISA,"['Sérgio de Figueiredo Rocha', 'Paulo Augusto Moreira Camargos', 'Francisco J C Reis']","['NAO', 'SIM', 'NAO']"
Música e fenomenologia: aplicações à música brasileira,2002,2003,PESQUISA,"['Sérgio de Figueiredo Rocha', 'Andre Cavazotti', 'Hugo Pierre Avila de Souza', 'Vanda Bellard Freire']","['NAO', 'SIM', 'NAO', 'NAO']"
CORAL DE TROMBONES DA UFSJ,2006,ATUAL,EXTENSAO,['Sérgio de Figueiredo Rocha'],['SIM']
CORPOREIDADE E MÚSICA NA 3ª IDADE,2009,2010,EXTENSAO,['Sérgio de Figueiredo Rocha'],['SIM']
A INFLUÊNCIA DA ATIVIDADE FÍSICA NA COGNIÇÃO EM MULHERES IDOSAS NUMA PERSPECTIVA DAS INTELIGÊNCIAS MÚLTIPLAS E DA PLASTICIDADE NEURONAL,2009,2009,PESQUISA,"['Sérgio de Figueiredo Rocha', 'Elisangela Vivas']","['SIM', 'NAO']"
CORPOREIDADE E ARTE NA TERCEIRA IDADE,2010,ATUAL,EXTENSAO,"['Sérgio de Figueiredo Rocha', 'ELISANGELA NAVES VIVAS', 'Fábio Sena', 'Simone Aparecidada dois Santos']","['SIM', 'NAO', 'NAO', 'NAO']"
Influência da atividade física nos níveis de ansiedade em alunos do curso de música da Universidade federal de São João del-Rei,2011,2012,PESQUISA,"['Sérgio de Figueiredo Rocha', 'Gledys Sympool Gomes Morato']","['SIM', 'NAO']"
Prevalência do Transtorno de Déficit de Atenção/Hiperatividade (TDAH) entre adultos - alunos do curso de música da UFSJ e sua relação com o desempenho acadêmico,2017,ATUAL,PESQUISA,"['Sérgio de Figueiredo Rocha', 'NATALIA TUESTA HUARNIZO']","['SIM', 'NAO']"
Estudo sobre o perfil dos estilos de aprendizagem no curso de música da UFSJ,2017,ATUAL,PESQUISA,"['Sérgio de Figueiredo Rocha', 'Raul Charles Rodrigues Rosa']","['SIM', 'NAO']"
CORAL DE TROMBONES DA UFSJ: uma proposta de revitalização artística do repertório de compositores da região do Campo das Vertentes,2013,ATUAL,PESQUISA,"['Sérgio de Figueiredo Rocha', 'Diego antônio da Trindade', 'Helyson Elpídio', 'Modesto Flávio da Fonseca']","['SIM', 'NAO', 'NAO', 'NAO']"
