PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Informação e Documentação em Estudos Clássicos,1992,1994,PESQUISA,"['Celina Figueiredo Lage', 'Jacyntho Lins Brandao']","['NAO', 'SIM']"
Os Carmina Maiora de Catulo,1995,1997,PESQUISA,"['Celina Figueiredo Lage', 'Johnny José Mafra']","['NAO', 'SIM']"
Cultura Clássica - via Internet,1995,1996,PESQUISA,['Celina Figueiredo Lage'],['SIM']
Lírica Grega ? Antologia,1997,1997,PESQUISA,"['Celina Figueiredo Lage', 'Flores jr., O.']","['NAO', 'SIM']"
Catálogo de Literatura e Artes Visuais da Grécia Antiga,1998,1998,PESQUISA,"['Celina Figueiredo Lage', 'Jacyntho Lins Brandao', 'Tereza Virginia Ribeiro Barbosa']","['NAO', 'SIM', 'NAO']"
Teoria da Literatura na República de Platão,1997,2000,PESQUISA,"['Celina Figueiredo Lage', 'Jacyntho Lins Brandao']","['NAO', 'SIM']"
"Para ver a Odisséia ? entre a literatura, as artes plásticas e o cinema",2000,2004,PESQUISA,"['Celina Figueiredo Lage', 'Jacyntho Lins Brandao']","['NAO', 'SIM']"
Fotografia Estereoscópica (3D),2009,2012,PESQUISA,"['Celina Figueiredo Lage', 'Maria Tzortzaki']","['SIM', 'NAO']"
Museu Virtual de Brasileiros e Brasileiras no Exterior - Grécia,2013,ATUAL,EXTENSAO,['Celina Figueiredo Lage'],['SIM']
Projeto curatorial para o ?Museu Virtual de Brasileiros e Brasileiras no Exterior - Grécia?,2013,2015,PESQUISA,"['Celina Figueiredo Lage', 'Luana Stephanie Costa']","['SIM', 'NAO']"
Paisagens Artísticas Intertemporais: A Arte e a Curadoria de Arte na Criação de Narrativas Contemporâneas,2014,ATUAL,PESQUISA,"['Celina Figueiredo Lage', 'Catarina Leite', 'Amanda Alves Neves', 'a aued', 'danilo aun', 'a m falabella', 'h marques', 'w fernandes', 'l oriel', 'Paula de Campos Pereira', 'Daniel Francisco de Lima', 'Lucas Reis Ávila', 'Gabriela Carvalho', 'Rosimary Bakir', 'Ana Paula Dacota', 'Amanda Alves', 'Giovane diniz', 'Alvaro Paiva', 'Domingos Mazilli']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Poéticas da Memória: projeto curatorial para o Museu Virtual de Brasileiros e Brasileiras no exterior - Grécia,2014,2015,PESQUISA,"['Celina Figueiredo Lage', 'Jade Liz França']","['SIM', 'NAO']"
Memória e Arte no projeto curatorial do ?Museu Virtual de Brasileiros e Brasileiras no Exterior?,2015,2016,PESQUISA,"['Celina Figueiredo Lage', 'Jade Liz França', 'Débora de Vasconcellos Serelle']","['SIM', 'NAO', 'NAO']"
"As Esculturas do Partenon no entrecruzamento  entre passado, presente e futuro:  experimento curatorial em Livro de Artista",2015,2021,PESQUISA,"['Celina Figueiredo Lage', 'Izabela Marcolino Carvalho Costa', 'Diego Nunes', 'Guilherme Ev']","['SIM', 'NAO', 'NAO', 'NAO']"
A Curadoria transmidiática de arte no  ?Museu Virtual de Brasileiros e Brasileiras no Exterior?,2016,2017,PESQUISA,"['Celina Figueiredo Lage', 'Priscila A P Landim']","['SIM', 'NAO']"
Os espaçamentos contemporâneos da arte digital,2021,ATUAL,PESQUISA,"['Celina Figueiredo Lage', 'Daniel Oliveira Pucciarelli', 'livia lopes', 'Andre Araujo']","['SIM', 'NAO', 'NAO', 'NAO']"
Sistema das artes e suas transformações,2022,ATUAL,PESQUISA,"['Celina Figueiredo Lage', 'Pablo Gobira', 'Alexandre Rodrigues', 'Luiz Naveda', 'Daniel Oliveira Pucciarelli', 'juliana mafra', 'sergio antonio silva']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Poéticas e práticas artísticas,2022,ATUAL,PESQUISA,"['Celina Figueiredo Lage', 'Pablo Gobira', 'Alexandre Rodrigues', 'Luiz Naveda', 'Daniel Oliveira Pucciarelli', 'juliana mafra', 'sergio antonio silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Acropolis Remix:  o livro de artista e a exposição de arte em realidade aumentada,2019,2021,PESQUISA,"['Celina Figueiredo Lage', 'Raisa Santos']","['SIM', 'NAO']"
Traduzindo a poesia Lírica Grega para o Português do Brasil,2012,2013,PESQUISA,['Celina Figueiredo Lage'],['SIM']
Acropolis Remix: o livro de artista virtual  como espaço de experimentos artísticos e curatoriais,2017,2018,PESQUISA,"['Celina Figueiredo Lage', 'MANTHOS SANTORINEOS']","['SIM', 'NAO']"
