PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Projeto Oficina de Cordas,2006,2011,DESENVOLVIMENTO,"['Ana Roseli Paes dos Santos', 'Profº Wilson Rogério dos Santos']","['SIM', 'NAO']"
Projeto Orquestra Cidadã,2009,2011,DESENVOLVIMENTO,"['Ana Roseli Paes dos Santos', 'Profº Wilson Rogério dos Santos']","['SIM', 'NAO']"
Projeto Orquestra Cidadã/Martins Guimarães,2009,2010,DESENVOLVIMENTO,"['Ana Roseli Paes dos Santos', 'Profº Wilson Rogério dos Santos']","['SIM', 'NAO']"
Formação e Prática do Professor de Instrumento de Cordas,2005,2008,PESQUISA,['Ana Roseli Paes dos Santos'],['SIM']
Busca do equilíbrio biopsicoemocional da criança oncológica através da música,1995,1995,PESQUISA,"['Ana Roseli Paes dos Santos', 'Profº Drº Raul do Valle', 'ProfªRachele Fillizola Vanni']","['SIM', 'NAO', 'NAO']"
Implantação e Organização do Acervo de Educação Musical /NICS/UNICAMP,1994,1994,PESQUISA,"['Ana Roseli Paes dos Santos', 'Profº Drº Raul do Valle', 'ProfªRachele Fillizola Vanni']","['SIM', 'NAO', 'NAO']"
Utilização da Música Funcional na Pediatria do H.C. da UNICAMP,1993,1993,PESQUISA,"['Ana Roseli Paes dos Santos', 'Profº Drº Raul do Valle']","['SIM', 'NAO']"
O ensino instrumental em grupo e a literacia musical da criança,2011,2014,PESQUISA,"['Ana Roseli Paes dos Santos', 'Vieira, M.H.G.L.']","['NAO', 'SIM']"
Ensino em grupo de  Instrumentos Musicais: um estudo de  caso múltiplo em Portugal e no Brasil,2010,2014,PESQUISA,['Ana Roseli Paes dos Santos'],['SIM']
Projeto Oficina de Cordas,2016,2017,EXTENSAO,"['Ana Roseli Paes dos Santos', 'Wilson Rogerio dos Santos']","['NAO', 'SIM']"
Projeto Oficina de Cordas II,2017,ATUAL,EXTENSAO,['Ana Roseli Paes dos Santos'],['SIM']
Oficina de Percussão,2017,2017,EXTENSAO,"['Ana Roseli Paes dos Santos', 'Paulo Renato Franco', 'Sérgio André Ribeiro Ricardo']","['SIM', 'NAO', 'NAO']"
EDUCAMPINHO I,2017,2018,EXTENSAO,"['Ana Roseli Paes dos Santos', 'Silvaneide Silva Rocha', 'Gabriela Rodrigues de Almeida']","['SIM', 'NAO', 'NAO']"
Músicas e instrumentos tradicionais da comunidade Kalunga Engenho/GO,2017,2018,EXTENSAO,"['Ana Roseli Paes dos Santos', 'Dominga Natália Moreira dos Santos Rosa']","['SIM', 'NAO']"
Educampinho Acolhimento,2018,ATUAL,OUTRA,['Ana Roseli Paes dos Santos'],['SIM']
LABORATÓRIO DE PRÁTICAS MUSICAIS: UM ESPAÇO DE APRENDIZAGEM,2018,ATUAL,PESQUISA,"['Ana Roseli Paes dos Santos', 'Géssica Pereira da Silva', 'Alexandra Pinheiro Taveira Neves', 'Luciana dos santos silva', 'Elizeu Francisco Xavier dos Santos', 'Valdivino Nére dos Reis', 'Leonice Vieira dos Santos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Oficina de Sopros,2018,ATUAL,EXTENSAO,"['Ana Roseli Paes dos Santos', 'Elizeu Francisco Xavier dos Santos']","['SIM', 'NAO']"
A RODA DE SÃO GONÇALO DO DISTRITO DE CANABRAVA: ETNOPEDAGOGIA MUSICAL EM CONTEXTO POPULAR TRADICIONAL,2017,2020,PESQUISA,"['Ana Roseli Paes dos Santos', 'Leonice Vieira dos Santos']","['SIM', 'NAO']"
"SUSSA, FERRAMENTA PEDAGÓGICA PARA O ENSINO DE MÚSICA NA ESCOLA",2017,ATUAL,PESQUISA,"['Ana Roseli Paes dos Santos', 'Luciana dos santos silva']","['SIM', 'NAO']"
Programa Residência Pedagógica,2018,2020,ENSINO,"['Ana Roseli Paes dos Santos', 'Paulo Renato Franco', 'Elizeu Francisco Xavier dos Santos', 'Sheila Martins de Moura', 'Maeli Gonçalves de Torres', 'Valdinei Bispo Araújo', 'Sionice de Torres Bispo', 'Daniel Monteiro Alves Magalhães', 'Daize Pereira da Cunha', 'Dinomar Rosa Araújo', 'Jozely Lourenço dos Santos', 'Juliana Soares de Jesus Sousa', 'Débora Ferreira Martins', 'Jonas Ribeiro das Neves', 'Ozéias Almeida da Cruz', 'Edilson Lúcio da Silva', 'Renivan de Melo Vidal', 'Jucilene Layara de Almeida', 'Santana Maria Tiago de Torres', 'Maria Cleonita Lemos Barbosa', 'Deusino Alves Borges', 'Rosaldino Soares da Silva', 'Cleudimar Francisco Tavares', 'Izac Moreira Lopes', 'EUNICE CORREIA MALHEIRO', 'Suenildes Pereira da Silva', 'América Aparecida Oliveira Xavier Germano', 'Giselia Cristina Rosa']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Preservação digital de sonoridades e músicas do sul tocantinense,2021,ATUAL,PESQUISA,"['Ana Roseli Paes dos Santos', 'Wilson Rogerio dos Santos']","['SIM', 'NAO']"
