TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
No reino dos ?encantados?: a bicharada de Pactos Insustentáveis,2010,,Português,Anais do I Seminário Nacional de Pesquisa em Teatro,XX,2236-0808,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
"Mito e Logos na peça teatral O Pássaro da Terra, de João de Jesus Paes Loureiro",2010,,Português,Anais do I Seminário Nacional de Pesquisa em Teatro,XX,2236-0808,"['Renan Bonito Pereira', 'Maria do Perpétuo Socorro Calixto Marques']","['1', '2']",['2'],-99
Dramaturgia Memória e Discurso,2012,,Português,Revista Ensaio Geral,XX,1984-5197,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
"Mito e Melodrama em O Pássaro Da Terra, de João de Jesus Paes Loureiro",2013,,Português,Revista Ensaio Geral,XX,1984-5197,"['Maria do Perpétuo Socorro Calixto Marques', 'Renan Bonito Pereira']","['1', '2']",['1'],-99
Ler é traduzir: ressonâncias dos escritos e práticas de Augusto Boal na Amazônia acreana,2013,,Português,"Teatro, Revista de Estudios Culturales",XX,2174-579X,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
O genero dramático: a tradição teórica e a produção popular,2004,,Português,Muiraquitã (UFAC),A3,1807-1856,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
Espaço do Grupo Opinião: Vozes dissonantes sobre seu fechamento no jornal do Brasil,2015,,Português,Sala Preta,A3,2238-3867,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
"Corporalidade, musicalidade e aspectos sociais no Congado Moçambiqueiro",2016,,Português,Sala Preta,A3,2238-3867,"['Maria do Perpétuo Socorro Calixto Marques', 'Tatiane Oliveira da Silva']","['1', '2']",['1'],-99
"GALANGA, CHICO REI! Uma análise sobre a teatralidade do musical de João das Neves",2016,,Português,Rascunhos - Caminhos da Pesquisa em Artes Cênicas,A4,2358-3703,"['Tatiane Oliveira da Silva', 'Maria do Perpétuo Socorro Calixto Marques']","['1', '2']",['2'],-99
58 INDÍCIOS SOBRE O CORPO: A gema e a casca do ovo,2018,,Português,Rascunho,XX,2358-2703,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
Viagem ao fundo do rio,2019,,Português,Revista de Estudos Teatrais Pitágoras,A4,2237-387X,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
A moral da história de um herói de seringal.,2009,,Português,I Congresso Internacional do Curso de História da UFG/Jataí,NP,2178-1281,['Maria do Perpétuo Socorro Calixto Marques'],['1'],['1'],-99
