COURSE,YEAR,INTEGRANTES
Dramaturgia no Corpo - Texto na Cena,2008,"['Jarbas Siqueira Ramos', 'Ricardo Ribeiro Malveira']"
Interpretação Teatral,2009,['Jarbas Siqueira Ramos']
Legislação e Produção Cultural,2009,['Jarbas Siqueira Ramos']
Danças Populares e Intervenção com o Caxambu na Roda,2010,['Jarbas Siqueira Ramos']
Oficina de Cultura e Patrimônio Imaterial,2011,['Jarbas Siqueira Ramos']
Oficina de Iniciação à Dança,2012,"['Jarbas Siqueira Ramos', 'Marina Antunes Colares', 'Talita de Barros Lima']"
Oficina de Iniciação Teatral - Caça Talentos,2012,"['Jarbas Siqueira Ramos', 'Talita de Barros Lima', 'Meire Márcia Costa Martins Silva', ""Ailson Max Sant'Ana""]"
Oficina de Jogos e Improvisação Teatral,2012,"['Jarbas Siqueira Ramos', 'Rafael Lorran Alves', 'Ariã Santana Alves Bessa']"
Jam Session,2012,['Jarbas Siqueira Ramos']
Jam Session - Encontros de Improvisação em Arte,2013,['Jarbas Siqueira Ramos']
Movíveis - Improvisação em Dança e Composição em Tempo Real - Bocaiúva/MG,2016,"['Jarbas Siqueira Ramos', 'Patrícia Chavarelli', 'Isabela Giorgiano']"
Movíveis - Improvisação em Dança e Composição em Tempo Real - Pirapora/MG,2016,"['Jarbas Siqueira Ramos', 'Patrícia Chavarelli', 'Emilliano Aves de Freitas Nogueira', 'Isabela Giorgiano', 'Ana Carolina da Rocha Mundim']"
Movíveis - Improvisação em Dança e Composição em Tempo Real - Patos de Minas,2016,"['Jarbas Siqueira Ramos', 'Patrícia Chavarelli', 'Ana Carolina da Rocha Mundim', 'Mariane Araújo Vieira', 'Emilliano Aves de Freitas Nogueira', 'Isabela Giorgiano']"
Movíveis - Improvisação em Dança e Composição em Tempo Real - Uberaba,2016,"['Jarbas Siqueira Ramos', 'Emilliano Aves de Freitas Nogueira', 'Patrícia Chavarelli', 'Mariane Araújo Vieira', 'Ana Carolina da Rocha Mundim', 'Isabela Giorgiano']"
Movíveis - Improvisação em Dança e Composição em Tempo Real - Tupaciguara,2016,"['Jarbas Siqueira Ramos', 'Emilliano Aves de Freitas Nogueira', 'Ana Carolina da Rocha Mundim']"
Oficina de Improvisação em Dança,2016,['Jarbas Siqueira Ramos']
Oficina de Danças Brasileiras,2017,['Jarbas Siqueira Ramos']
Iniciação à Pesquisa - Currículo Lattes,2020,['Jarbas Siqueira Ramos']
Corpo Tambor,2006,"['Jarbas Siqueira Ramos', 'Ricardo Ribeiro Malveira', 'Rodolfo Athaíde']"
Teatro: Prática e Discussão na Educação,2006,['Jarbas Siqueira Ramos']
Teatro Contemporâneo,2007,['Jarbas Siqueira Ramos']
Danças Populares,2006,['Jarbas Siqueira Ramos']
Tambores Mineiros: Percussão,2006,"['Jarbas Siqueira Ramos', 'Nelson Souza Soares']"
O Corpo-Expressão nas danças Populares,2007,['Jarbas Siqueira Ramos']
Jam Session - Encontros de Improvisação em Arte,2013,['Jarbas Siqueira Ramos']
