COURSE,YEAR,INTEGRANTES
Projeto Ondas Radiofônicas: processos colaborativos em arte pública e sonora,2010,['Marcelo Simon Wasem']
Oficina Histórias Radiofônicas no Colégio Estadual Guadalajara,2010,['Marcelo Simon Wasem']
"Oficina ?Jogo, narrativa e arte?",2006,"['Meyli Moraes de Oliveira Lima', 'Marcelo Simon Wasem']"
Oficina Radiofônica na Escola Municipal Tenente General Napion,2011,['Marcelo Simon Wasem']
Oficinas de Jornal e Fotografia na Escola Municial Bahia,2011,['Marcelo Simon Wasem']
Coordenação da Sala Futura Maré,2011,['Marcelo Simon Wasem']
"Projeto Educativo na exposição 'Panos e Tapas, Joias e Adornos d'África'",2012,"['Marcelo Simon Wasem', 'Mariana Novaes', 'Alexandra Santos']"
"Projeto Educativo na exposição 'Meu Padinho Padre Cícero ? Em cada casa um oratório, em cada quintal uma oficina'",2012,"['Marcelo Simon Wasem', 'Mariana Novaes']"
Projeto Educativo na exposição 'Até que a rua nos separe',2012,"['Marcelo Simon Wasem', 'Mariana Novaes']"
Mapas Mentais e Planejamentos,2014,['Marcelo Simon Wasem']
Derivas Sonoras e Paisagens Musicadas,2013,['Marcelo Simon Wasem']
"Escuta expandida, biofonia e jogos de improvisac&amp;#807;a&amp;#771;o: compete&amp;#770;ncias para o desenvolvimento sustenta&amp;#769;vel atrave&amp;#769;s das artes sonoras",2019,['Marcelo Simon Wasem']
"Collage, antropofagia e outras apropriações nas artes visuais",2021,['Marcelo Simon Wasem']
Oficina Balaio de Idéias: Arte Ativista + Design + Cidade,2007,['Marcelo Simon Wasem']
Conhecimentos sobre a civilização maia,2003,"['Marcelo Simon Wasem', 'Rafael Ninno Muniz']"
Oficina &amp;quot;Imagens da Cidade&amp;quot;,2004,"['Marcelo Simon Wasem', 'Jonatha Jünge', 'Kauê Sant´anna da Costa']"
Oficina &amp;quot;Imagens da Cidade&amp;quot;,2004,"['Marcelo Simon Wasem', 'Jonatha Jünge', 'Kauê Sant´anna da Costa']"
Oficina de Vídeo e Mídia-Educação,2006,"['Marcelo Simon Wasem', 'Leonardo Alves da Cunha', 'Matheus Grandi']"
Mídia-Educação para Jovens nas comunidades Chico Mendes e Novo Horizonte,2007,"['Marcelo Simon Wasem', 'Leonardo Alves da Cunha', 'Matheus Grandi']"
"Projeto Educativo na exposição 'Palácio: Alvaro Seixas, Hugo Houayek, Rafael Alonso'",2012,['Marcelo Simon Wasem']
