TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Aprendizagem motora na performance musical: reflexões sobre conceitos e aplicabilidade,2002,,Português,Per Musi (UFMG),C,1517-7599,"['Guilherme Menezes Lage', 'Fausto', 'Rodolfo Benda', 'Luiz Carlos Moraes']","['1', '2', '3', '4']",['1'],-99
Assimetria bilateral de força de membros inferiores no,2005,,Português,Revista Mineira de Educação Física,XX,0104-8031,"['Wesley Rodrigo Gonçalves', 'Márcio', 'Alessandro Teodoro Bruzi', 'Adriana Cavalcante', 'Guilherme Menezes Lage', 'Herbert Ugrinowitsch', 'Rodolfo Benda', 'lezek']","['1', '2', '3', '4', '5', '6', '7', '8']",['5'],-99
Efeitos de diferentes tipos de conteúdo de conhecimento de resultados na aquisição de habilidades motoras,2005,,Português,Revista Mineira de Educação Física,XX,0104-8031,"['Camila Ribeiro', 'Larissa Betânia', 'Guilherme Menezes Lage', 'Herbert Ugrinowitsch', 'Rodolfo Benda']","['1', '2', '3', '4', '5']",['3'],-99
Efeitos do feedback sumário na aquisição de habilidades motoras,2005,,Português,Revista Mineira de Educação Física,XX,0104-8031,"['Larissa Betânia', 'Camila Ribeiro', 'Guilherme Menezes Lage', 'Herbert Ugrinowitsch', 'Rodolfo Benda']","['1', '2', '3', '4', '5']",['3'],-99
Análise da correlação entre variabilidade de resultado e variabilidade cinemática na aquisição do arremesso de dardo de salão: um estudo piloto,2005,,Português,Revista Mineira de Educação Física,XX,0104-8031,"['Rodolfo Benda', 'ROBLEDO', 'Fabiano', 'André Gustavo', 'Guilherme Menezes Lage', 'HANS', 'Herbert Ugrinowitsch']","['1', '2', '3', '4', '5', '6', '7']",['5'],-99
Practice schedules and number of skills as contextual interference factors in the learning of positioning timing tasks,2006,,Inglês,Journal of Human Movement Studies,XX,0306-7297,"['Guilherme Menezes Lage', 'Márcio', 'Lenadro', 'Herbert Ugrinowitsch', 'Rodolfo Benda']","['1', '2', '3', '4', '5']",['1'],-99
Efeitos do intervalo pós-conhecimento de resultados na aquisição do arremesso da bocha,2006,,Português,Revista Portuguesa de Ciências do Desporto,B3,1645-0523,"['Márcio', 'Fernando Ennes', 'Guilherme Menezes Lage', 'Lenadro', 'Herbert Ugrinowitsch', 'Rodolfo Benda']","['1', '2', '3', '4', '5', '6']",['3'],-99
Efeito da complexidade da tarefa na direção da transferência bilateral em habilidades motoras seriadas,2007,,Português,Revista Portuguesa de Ciências do Desporto,B3,1645-0523,"['Dayane Pinho', 'Guilherme Menezes Lage', 'Herbert Ugrinowitsch', 'Rodolfo Novellino Benda']","['1', '2', '3', '4']",['2'],-99
O efeito da interferência contextual em idosos,2007,,Português,Revista Portuguesa de Ciências do Desporto,B3,1645-0523,"['Wesley Rodrigo Gonçalves', 'Guilherme Menezes Lage', 'Alexandro Barbosa da Silva', 'Herbert Ugrinowitsch', 'Rodolfo Novellino Benda']","['1', '2', '3', '4', '5']",['2'],-99
Freqüência relativa de conhecimento de resultados no processo adaptativo em aprendizagem motora,2006,,Português,Revista da Educação Física,C,0103-3948,"['fernanda Santos Oliveira', 'Michela Abreu', 'Guilherme Menezes Lage', 'Herbert Ugrinowitsch', 'Rodolfo Benda']","['1', '2', '3', '4', '5']",['3'],-99
