COURSE,YEAR,INTEGRANTES
Oficina Projeto Cookie,2008,['Daniella de Aguiar']
Exercícios sobre analogia,2009,"['João Queiroz', 'Daniella de Aguiar', 'AQUINO, Rita']"
Oficina 'De uma mídia para outra: tradução intersemiótica como possibilidade no processo de criação',2010,['Daniella de Aguiar']
Aula de Dança Contemporânea,2011,['Daniella de Aguiar']
Danca Contemporanea,2012,['Daniella de Aguiar']
Tradução Simultânea - Conversas de Dança,2014,['Daniella de Aguiar']
Tradução Simultânea - FAC III,2014,['Daniella de Aguiar']
Tradução Simultânea - Dep Dança UFV,2015,['Daniella de Aguiar']
Dança e Educação Somática,2014,['Daniella de Aguiar']
TRANSMEDIAÇÕES - RECRIANDO EM OUTRAS MÍDIAS,2017,['Daniella de Aguiar']
Palestra como Performance,2017,"['Daniella de Aguiar', 'Ana Maria Krein']"
Oficina de Dança Contemporânea - Transcriações em Dança,2018,['Daniella de Aguiar']
Transcriações em dança,2018,['Daniella de Aguiar']
Minha Dor de Cotovelo - Oficina de criação em dança,2019,['Daniella de Aguiar']
Feedback e processos artísticos,2021,"['Claudia Goes Müller', 'Daniella de Aguiar']"
Estudos do Corpo,2006,['Daniella de Aguiar']
Oficina de Contato-Improvisação,2007,"['Daniella de Aguiar', 'AQUINO, Rita']"
Oficina de Contato-Improvisação,2007,"['Daniella de Aguiar', 'AQUINO, Rita']"
Oficina de Educação Somática e Dança Contemporânea,2007,"['Daniella de Aguiar', 'AQUINO, Rita']"
Encontro teórico-prático para exploração de procedimentos criativos envolvendo dança e literatura,2007,"['João Queiroz', 'AQUINO, Rita', 'Daniella de Aguiar']"
Workshop tradução intersemiotica &amp; dança,2008,"['João Queiroz', 'AQUINO, Rita', 'Daniella de Aguiar']"
Dança e descontinuidade,2007,"['Daniella de Aguiar', 'AQUINO, Rita']"
Danza y literatura; estudio y práctica de la traducción creativa,2010,"['Daniella de Aguiar', 'João Queiroz']"
