INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade Federal de Minas Gerais,1995,12,12,12,Artes,POS-GRADUACAO,['Conservação Preventiva']
Intl. Ctr for the Study of the Preservation and Restoration of Cultural Pro,1995,,ATUAL,ATUAL,Scientific Principles of Conservation - SPC 95,OUTRO,"['Coordenador local do Curso SPC95 para América Latina (ICCROM, UFMG) - Prof. de Princípios de Química aplicada à Conservação de Bens Culturais']"
Universidade Federal de Minas Gerais,1996,12,12,12,Artes,POS-GRADUACAO,['Fundamentos Científicos da Conservação']
Universidade Federal de Minas Gerais,1997,6,6,6,Artes,POS-GRADUACAO,['Tópicos Especiais em Artes Plásticas: Conservação Preventiva']
Universidade Federal de Minas Gerais,1998,6,6,6,Belas Artes,GRADUACAO,['Técnicas e Materiais Pictóricos - 60h -']
Intl. Ctr for the Study of the Preservation and Restoration of Cultural Pro,1998,,ATUAL,ATUAL,Scientific Principles of Conservation - SPC 98,OUTRO,"['Coordenador local do Curso SPC98 para América Latina (ICCROM, UFMG) - Prof. de Princípios de Química aplicada à Conservação de Bens Culturais']"
Universidade Federal de Minas Gerais,1999,11,11,11,Artes,POS-GRADUACAO,['Análise Científica da Obra de Arte']
Universidade Federal de Minas Gerais,1999,6,6,6,Belas Artes,GRADUACAO,['Introdução à Conservação e Restauração de Bens Culturais']
Universidade Federal de Minas Gerais,2000,6,6,6,Artes,POS-GRADUACAO,"['Conservação Preventiva - APL808', 'Tópicos Especiais em Artes Visuais: Ciências e Conservação de Bens Culturais - EBA803A']"
Universidade Federal de Minas Gerais,2000,5,5,5,Arquitetura,POS-GRADUACAO,['conservação preventiva']
Universidade Federal de Minas Gerais,2001,6,6,6,Artes,POS-GRADUACAO,['Conservação Preventiva - APL808']
Universidade Federal de Minas Gerais,2001,,ATUAL,ATUAL,Artes,POS-GRADUACAO,"['Análise Científica da Obra de Arte - cod. APL807 (CH, T=60H)', 'Tópicos Especiais em Artes Visuais - Vulnerabilidade de Materiais à Degradação - cod EBA803 turma A(CH, T=60H)', 'Estudos Especiais - Prática de Laboratório - cod APL514 turma D(CH, T=90H)']"
Intl. Ctr for the Study of the Preservation and Restoration of Cultural Pro,2001,,ATUAL,ATUAL,Conservation and Use of Collections - CUC2001,OUTRO,"['Coordenador local do Curso CUC2001 para América Latina (ICCROM, UFMG) - Prof. de Princípios de Química aplicada à Conservação de Bens Culturais']"
"Muséum National d´Histoire Naturelle, Paris",2012,11,11,11,Pós-Graduação em Museologia,POS-GRADUACAO,"['Seminário Problèmes et gestion de la conservation du Patrimoine Culturel dans une situation de dévelopment économique : un regard sur la situation dans la région carstique de Lagoa Santa, Minas Gerais, Brésil.', 'Seminário Les Prophètes d´Aleijadinho à Congonhas, Minas Gerais, Brésil : Problématiques de conservation à long terme dans un site Patrimoine Mondial']"
Universidade Federal de Minas Gerais,2013,08,08,08,Artes,POS-GRADUACAO,['Conservação Preventiva - Avaliação e Diagnóstico em Conservação Preventiva - DINTER UFMG - Universidade Regional do Cariri - 25 a 30 de agosto de 2013 - 30h']
