PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Antigas marcas, novos processos: a arte humanizando as tecnologias",2001,2005,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Afrânio Angelo do Prado Ornelas', 'Marcelo Lourenço de Oliveira Filho', 'Paulo Rogério Dias Ferreira', 'Janaína Mércia Alves Melo', 'Tânia de Castro Araújo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Caligrafias e Escrituras: diálogo e intertexto no processo escritural nas artes no século XX,1998,2000,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Ana Martins Marques', 'William Rezende Quintal']","['SIM', 'NAO', 'NAO']"
O processo fotográfico na litografia,1993,1996,DESENVOLVIMENTO,"['Maria do Carmo de Freitas Veneroso', 'Afrânio Angelo do Prado Ornelas']","['SIM', 'NAO']"
Processo fotográfico na gravura em metal,1989,1992,OUTRA,['Maria do Carmo de Freitas Veneroso'],['SIM']
Circuito Atelier: Maria do Carmo Freitas (C/Arte Projetos Culturais),2003,2004,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Walter Sebastião', 'Afrânio Angelo do Prado Ornelas', 'Fernando Pedro da Silva', 'Adriana Ferreira Moura', 'Marília Andrés Ribeiro', 'Nélio Costa', 'Mariana Tavares', 'Christiane Netto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
IMPUREZAS TEXTUAIS: Diálogo e intertexto no processo escritural na gravura contemporânea.,2005,2008,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Deborah Lopes Pennachin']","['SIM', 'NAO']"
Estudos sobre Intermidialidade,2005,ATUAL,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Wanda Toffani', 'Márcia Arbex', 'Thaïs Flores Diniz', 'Solange Ribeiro de Oliveira', 'Eliana Lourenço de Lima Reis']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Gravura em Minas Gerais: dos primórdios aos diálogos intermidiáticos na contemporaneidade,2008,2011,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Maria Angélica Melendi', 'Pedro de Freitas Veneroso', 'Angelo Mazzuchelli Garcia', 'Amir Brito Cadôr']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Cross Polinization: Emerging Artists in Contemporary Brazilian Printmaking/Polinização cruzada: artistas emergentes na gravura contemporânea brasileira,2010,2013,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Edward Bernstein']","['SIM', 'NAO']"
"IMPRESSÃO, PALAVRA, IMAGEM: um estudo comparativo entre a produção contemporânea brasileira e internacional envolvendo múltiplas identidades, interseções e contrapontos",2012,ATUAL,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Tânia de Castro Araújo', 'Amir Brito Cadôr', 'Francisco Sebastião de Paula', 'Chantal Herskovic', 'Adriana Gomes Penido', 'Daniela Goulart Peres']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Perspectivas do livro de artista: O livro de artista na universidade,2013,2013,EXTENSAO,"['Maria do Carmo de Freitas Veneroso', 'Maria Angélica Melendi', 'Marília Andrés Ribeiro', 'Amir Brito Cadôr', 'Sarah Bodman', 'Leszek Brogowski', 'Paulo Silveira', 'Martin Grossmann', 'Regina Melin']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Impressões &amp; Contaminações,2012,ATUAL,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'outros', 'Edna Mara de Moura Nunes']","['SIM', 'NAO', 'NAO']"
Brazilian Society and Environment through the Lens of Contemporary Art: Historical Influences Inform Present Practices,2013,ATUAL,EXTENSAO,"['Maria do Carmo de Freitas Veneroso', 'Yara Ferreira Clüver', 'Adolfo Cifuentes', 'André Mendes']","['SIM', 'NAO', 'NAO', 'NAO']"
"As relações palavra-imagem na impressão e no múltiplo na arte contemporânea: continuidades, rupturas, cruzamentos e contaminações",2015,ATUAL,PESQUISA,['Maria do Carmo de Freitas Veneroso'],['SIM']
Quanto ao livro ou aproximações entre livros de artista e livros raros das Coleções de Livros de Artista e de Obras Raras e Especiais da Biblioteca Universitária da UFMG,2015,ATUAL,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Julia Bernardes Lacerda', 'Ricardo Miranda Burgarelli', 'Luiz Henrique Vieira']","['SIM', 'NAO', 'NAO', 'NAO']"
"Colóquio Internacional Escrita, Som, Imagem",2016,2017,EXTENSAO,"['Maria do Carmo de Freitas Veneroso', 'Márcia Arbex', 'Thaïs Flores Diniz', 'André Mendes', 'Cecília Nazaré']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Impressões do imaginário: 500 anos de Ganda,2017,2017,EXTENSAO,['Maria do Carmo de Freitas Veneroso'],['SIM']
Gravura Contemporânea na Argentina,2018,2018,EXTENSAO,"['Maria do Carmo de Freitas Veneroso', 'Tânia de Castro Araújo', 'Eliana Ambrósio', 'George Rembrandt Gutlich']","['NAO', 'SIM', 'NAO', 'NAO']"
"II Colóquio internacional escrita, som, imagem",2019,ATUAL,EXTENSAO,"['Maria do Carmo de Freitas Veneroso', 'Márcia Arbex', 'Tânia de Castro Araújo', 'Thaïs Flores Diniz', 'Solange Ribeiro de Oliveira', 'Eliana Lourenço de Lima Reis', 'André Mendes', 'Cecília Nazaré de Lima', 'Flávio Barbeitas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Do códex ao livro virtual: palavras e imagens,2018,2021,PESQUISA,['Maria do Carmo de Freitas Veneroso'],['SIM']
Do códex ao livro virtual,2018,ATUAL,PESQUISA,['Maria do Carmo de Freitas Veneroso'],['SIM']
"Intermidialidade nas artes: relações entre os atos de dizer, ver, escrever, traçar, ouvir, sentir",2021,ATUAL,PESQUISA,"['Maria do Carmo de Freitas Veneroso', 'Maria Beatriz Mendes Queiroz']","['SIM', 'NAO']"
Perspectivas do livro de artista,2009,2009,EXTENSAO,"['Maria do Carmo de Freitas Veneroso', 'Amir Brito Cadôr']","['SIM', 'NAO']"
