COURSE,YEAR,INTEGRANTES
"Conservação preventiva voltada exposições(manipulação,montagem de obras,emblagem, transporte e monitoramento do espaço expositivo.",2008,['Magali Melleu Sehn']
Introdução à Preservação da Arte Contemporânea,2011,['Magali Melleu Sehn']
Conservação de Acervos,2003,['Magali Melleu Sehn']
Conservação de Arte Moderna e Contemporânea,2006,['Magali Melleu Sehn']
Conservação de Arte Moderna e Contemporânea,2007,['Magali Melleu Sehn']
Conservação de Arte Contemporânea,1995,['Magali Melleu Sehn']
Materiais Modernos: Conservação Preventiva,1999,['Magali Melleu Sehn']
Introdução à Conservação de Obras de Arte,1991,['Magali Melleu Sehn']
"Segurança em Museus: Normas, posturas e situações de emergência",1992,['Magali Melleu Sehn']
Os Riscos de Gerenciamento e interpretação no contexto da preservação da arte Contemporânea,2014,['Magali Melleu Sehn']
