TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Percussão Mediada: Interação e Interpretação,2007,,Português,Cadernos de Pós-Graduação da UNICAMP,XX,1516-0793,['Cesar Adriano Traldi'],['1'],['1'],-99
Espaço Interativo Sonoro Dirigido por Distribuição de Probabilidade,2010,,Português,Revista EIMAS 2010,XX,2236-8353,"['Cesar Adriano Traldi', 'Jônatas Manzolli']","['1', '2']",['1'],-99
Instrumentos acústicos e meios eletrônicos em tempo real:  estratégias de improvisação coletiva,2010,,Português,Revista EIMAS 2010,XX,2236-8353,"['Daniel Barreiro', 'Cesar Adriano Traldi', 'Celso Cintra', 'Carlos Roberto Ferreira de Menezes Júnior']","['1', '2', '3', '4']",['2'],-99
O papel da improvisação em quatro obras para percussão e meios eletrônicos em tempo real,2011,,Português,OuvirOUver (Uberlândia. Impresso),A2,1809-290X,"['Daniel Barreiro', 'Cesar Adriano Traldi', 'Celso Cintra', 'Carlos Roberto Ferreira de Menezes Júnior']","['1', '2', '3', '4']",['2'],-99
Estudo e performance de processos rítmicos do século XX com auxílio de dispositivos eletrônicos,2014,,Português,Música Hodie,A1,1676-3939,['Cesar Adriano Traldi'],['1'],['1'],-99
O Instrumento Bateria,2015,,Português,DAPesquisa,A4,1808-3129,"['Cesar Adriano Traldi', 'Thiago de Souza Ferreira']","['1', '2']",['1'],-99
"Caixa Expandida por Meios Eletrônicos: Construção, Composição e Performance",2016,,Português,Revista Vórtex,A2,2317-9937,"['Cesar Adriano Traldi', 'Thiago de Souza Ferreira']","['1', '2']",['1'],-99
Texturas Ephemeras: espacialidade e modelagem sonora numa obra interativa,2016,,Português,Revista Vórtex,A2,2317-9937,"['Cesar Adriano Traldi', 'Celso Cintra', 'Danilo Aguiar', 'Daniel Barreiro']","['1', '2', '3', '4']",['1'],-99
O ensino musicas para Surdos por meios tecnológicos,2016,,Português,Revista FORUM,XX,2525-6211,"['Sarita Araujo Pereira', 'Cesar Adriano Traldi']","['1', '2']",['2'],-99
Exploração tímbrica em composição para tímpanos solo,2017,,Português,OUVIROUVER (ONLINE),XX,1983-1005,['Cesar Adriano Traldi'],['1'],['1'],-99
XyLoops: Composição e performance de uma obra para Xilofone e eletrônica em tempo real (live looping),2018,,Português,REVISTA VÓRTEX,A2,2317-9937,"['Helvio Monteiro Mendes', 'Alexsander Jorge Duarte', 'Cesar Adriano Traldi']","['1', '2', '3']",['3'],-99
Exploração Tímbrica em obra para Pandeiro Brasileiro: Composição e Performance,2021,10.5216/mh.v21.68147,Português,Música Hodie,XX,2317-6776,"['Vitor Lyra Biagioni', 'Cesar Adriano Traldi']","['1', '2']",['2'],-99
Espaço Interativo Sonoro Dirigido por Distribuição de Probabilidade,2010,,Português,Revista do Encontro Internacional de Música e Arte Sonora - EIMAS,XX,2236-8353,"['Cesar Adriano Traldi', 'Jônatas Manzolli']","['1', '2']",['1'],-99
