PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Patrimônio: Identificar, Conhecer e Salvaguardar",2009,2009,EXTENSAO,['Alessandra Rosado'],['SIM']
"Análise Científica da pintura atribuída a Nicolas Poussin do MASP, S.P",2008,2009,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Alexandre Leão']","['NAO', 'SIM', 'NAO']"
Materiais e Técnicas Pictóricas do Pintor Candido Portinari,2009,2011,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Alexandre Leão', 'Isolda Maria de Castro Mendes', 'Edson Motta Júnior', 'Claudio Valério Teixeira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
A obra de Lygia Clark: diversidade de materiais e técnicas de arte moderna e contemporânea,2008,2011,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Alexandre Leão', 'Isolda Maria de Castro Mendes']","['NAO', 'SIM', 'NAO', 'NAO']"
Conservação-reatauração e transposição dos painéis,2012,2012,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza']","['SIM', 'NAO']"
Projeto Portal Lygia Clark,2011,2011,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Yacy-Ara Froner', 'Rita Lages Rodrigues', 'Renato Pinto Venancio', 'Thays Cougo Pimentel', 'Alexandre Ragazzi']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Bustos Relicários de Mestre Aleijadinho: Estudo Técnico-Científico de Obras Completas e Inacabadas como Elementos de Caracterização da Técnica e Materiais do Artista,2013,2015,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Lucienne Maria Almeida Elias', 'Alexandre Leão']","['NAO', 'SIM', 'NAO', 'NAO']"
"PROJETO ATELIER DE CONSERVAÇÃO-RESTAURAÇÃO ARQUEOLOGIA, BENS MÓVEIS E INTEGRADOS IPHAN - MG",2013,2015,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Yacy-Ara Froner', 'Alexandre Leão', 'WILLI DE BARROS GONÇALVES']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
O acervo em marfim luso-afro-oriental no Brasil: pesquisa introdutória nos acervos de Minas Gerais,2014,ATUAL,PESQUISA,"['Alessandra Rosado', 'Alexandre Leão', 'ANA PANISSET', 'Yacy-Ara Froner Gonçalves', 'Thais Gontijo Venuto']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
Caracterização e mapeamento de douramentos em capelas e igrejas em Minas Gerais nos períodos Barroco e Rococó: contribuição aos estudos de proveniência e autenticidade de bens culturais mineiros,2014,2018,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Alexandre Leão', 'Karla Balzuweit', 'Antonio Fernando Batista dos Santos', 'Maria Regina Emery Quites']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
History of Modern House and Industrial Paints in Brazil,2018,ATUAL,PESQUISA,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Vitor Paixão Amaral', 'Mariana de Souza Barros']","['NAO', 'SIM', 'NAO', 'NAO']"
Conservação-Restauração dos Passos da Paixão  de autoria de Portinari pertencentes a Igrejinha da Pampulha,2018,ATUAL,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Rita Lages Rodrigues', 'Bethania Reis Veloso']","['SIM', 'NAO', 'NAO', 'NAO']"
Workshop CAPS Brasil: Limpeza de superficies pintadas em acrílico,2018,2018,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza']","['SIM', 'NAO']"
"Conservação e Restauração ? pós desastre: Esculturas em Madeira e Museu das Missões (IBRAM) São Miguel das Missões, RS",2018,2018,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza']","['NAO', 'SIM']"
O Laboratório de Conservação-Restauração de Escultura - Labore e sua Missão,2017,2018,EXTENSAO,"['Alessandra Rosado', 'Lucienne Maria Almeida Elias', 'Luciana Bonadio']","['SIM', 'NAO', 'NAO']"
Tópicos Especiais em Conservação Preventiva,2006,2009,DESENVOLVIMENTO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Yacy-Ara Froner']","['NAO', 'SIM', 'NAO']"
Portal Lygia Clark,2011,2014,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Yacy-Ara Froner', 'Rita Lages Rodrigues', 'Renato Pinto Venancio', 'Alexandre Ragazzi']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Oficinas de Conservação preventiva a instituições museológicas,2007,2008,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Yacy-Ara Froner']","['NAO', 'SIM', 'NAO']"
Conservação e Restauração da Coleção do Affonsino Diniz,2007,2008,EXTENSAO,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza']","['NAO', 'SIM']"
Vivência Profissional Museu Casa Padre Toledo - Tirandentes M.G.,2010,2010,EXTENSAO,"['Alessandra Rosado', 'Maria Regina Emery Quites', 'Bethania Reis Veloso', 'Eliana Ribeiro Ambrósio']","['NAO', 'NAO', 'SIM', 'NAO']"
Projeto Muselógico para o Centro de Memória da Faculdade de Odontologia da Universidade Federal de Minas Gerais,2012,2014,EXTENSAO,"['Alessandra Rosado', 'Magali Melleu Sehn', 'Maria Regina Emery Quites']","['NAO', 'SIM', 'NAO']"
SEMINÁRIO &amp;quot;CIÊNCIA E PATRIMÔNIO CULTURAL: PERSPECTIVAS&amp;quot;,2016,2016,EXTENSAO,"['Alessandra Rosado', 'WILLI DE BARROS GONÇALVES']","['NAO', 'SIM']"
Restauração das Réplicas de Gesso do Centro de Memória da Faculdade de Arquitetura,2011,2012,EXTENSAO,"['Alessandra Rosado', 'Magali Melleu Sehn', 'Maria Regina Emery Quites']","['NAO', 'SIM', 'NAO']"
