COURSE,YEAR,INTEGRANTES
"MasterClass Voix, Presence et Espace",2017,"['Juliana Alves Mota Drummond', 'Maria Clara Guimarães Ferre Carrilho']"
"Voz, presença e espaço",2017,"['Juliana Alves Mota Drummond', 'Maria Clara Guimarães Ferre Carrilho']"
Da ópera à opereta,2010,['Juliana Alves Mota Drummond']
Teatro Musical,2010,['Juliana Alves Mota Drummond']
Princípios da voz em cena,2012,['Juliana Alves Mota Drummond']
"Corpo, memória e espaço",2012,['Juliana Alves Mota Drummond']
A escrita (auto)biográfica e a cena teatral,2012,['Juliana Alves Mota Drummond']
A voz e a criação do personagem,2013,['Juliana Alves Mota Drummond']
Teatro Musical,2013,['Juliana Alves Mota Drummond']
Produção Cultural,2011,['Juliana Alves Mota Drummond']
Projeto Raio de Luz - Curso de Iniciação e Aperfeiçoamento Teatral,2008,['Juliana Alves Mota Drummond']
"Canti afro-brasiliani nel training dell'artista scenico: presenza, connessione e memoria",2014,['Juliana Alves Mota Drummond']
O trabalho com os ressonadores e o mergulho do ator sobre si,2011,['Juliana Alves Mota Drummond']
