COURSE,YEAR,INTEGRANTES
Grupo de Trabalho &amp;quot;Artista em residência: Uma Experiência Transdisciplinar&amp;quot;,2005,"['Éder Santos', 'ATHIÉ, Francisco', 'Mônica Medeiros Ribeiro', 'CASANOVA, Vera', 'GASTELOIS, Ana', 'Paulo Santos']"
Concientización Rítmico corporal en el CUT de la Universidad Autónoma de la Ciudad de México,1997,['Mônica Medeiros Ribeiro']
Concientización Corporal para actores,1996,['Mônica Medeiros Ribeiro']
A ritmica corporal como instrumento de trabalho para o ator/bailarino e educador,2001,"['Ione de Medeiros', 'Mônica Medeiros Ribeiro']"
Workshop de expressão e ritmica Corporal,2000,['Mônica Medeiros Ribeiro']
Musicalização e Preparação Corporal,2000,"['Ione de Medeiros', 'Mônica Medeiros Ribeiro']"
Workshop de Iniciação à dança Contemporânea,1993,['Mônica Medeiros Ribeiro']
Workshop 'Movimiento Rítmico' para el espetáculo La vida es sueño de Teatro de Ciertos Habitantes,2013,"['Claudio Valdes Kuri', 'Mônica Medeiros Ribeiro', 'Fabrina Melon']"
A rítmica corporal como instrumento de trabalho para o ator/bailarino e educador,2001,"['Ione de Medeiros', 'Mônica Medeiros Ribeiro']"
Workshop com o Grupo Oficcina Multimédia,1993,"['Ione de Medeiros', 'Mônica Medeiros Ribeiro']"
Ritmica Corporal para atores- 1° Seminário Nacional de Educação Teatral: Trocas e Propostas,2017,['Mônica Medeiros Ribeiro']
O papel do corpo na transcrição do texto dramatúrgico para o texto espetacular,2008,['Mônica Medeiros Ribeiro']
