COURSE,YEAR,INTEGRANTES
Teatro de Rua,1992,['Ricardo Carlos Gomes']
Teatro de Rua,1992,['Ricardo Carlos Gomes']
As ações físicas e a palavra,2007,['Ricardo Carlos Gomes']
Iniciação ao Teatro,2007,['Ricardo Carlos Gomes']
Iniciação ao Teatro,2006,['Ricardo Carlos Gomes']
Iniciação ao Teatro,2005,['Ricardo Carlos Gomes']
Iniciação ao Teatro,2005,['Ricardo Carlos Gomes']
Teatro de Rua,2003,"['Ricardo Carlos Gomes', 'Priscilla Duarte']"
Teatro de Rua,1992,"['Ricardo Carlos Gomes', 'Priscilla Duarte']"
Workshop de dança indiana Kathakali,2013,['Ricardo Carlos Gomes']
Kathakali Vesham - técnicas de atuação do teatro clássico indiano para o ator brasileiro,2016,['Ricardo Carlos Gomes']
Oficina sobre a atuação com pernas-de-pau,2006,"['Ricardo Carlos Gomes', 'Priscilla Duarte', 'Mirella Schino']"
Grupo de Estudos sobre o Trabalho do Ator,1996,['Ricardo Carlos Gomes']
Introdução à análise de textos,2000,['Ricardo Carlos Gomes']
Teatro de Rua,2002,"['Ricardo Carlos Gomes', 'Priscilla Duarte']"
Teatro de Rua,2003,"['Ricardo Carlos Gomes', 'Priscilla Duarte']"
Teatro de Rua,1997,['Ricardo Carlos Gomes']
As Ações Físicas e a Palavra,2003,['Ricardo Carlos Gomes']
Teatro de Rua,2003,['Ricardo Carlos Gomes']
Iniciação ao Teatro,2004,['Ricardo Carlos Gomes']
