COURSE,YEAR,INTEGRANTES
As ações Físicas No Trabalho do Cantor,1994,['Adilson Roberto Siqueira']
Jogo da Arte Na Direção Geral de Projeto Artístico,2007,['Adilson Roberto Siqueira']
Jogo de Cena: Vivencias em encenação espetacular,2007,['Adilson Roberto Siqueira']
Jogo da Arte: Vivencias Corporais em Movimento e Expressao,2007,['Adilson Roberto Siqueira']
Teatro de Movimento Afro-Brasileiro,1992,['Adilson Roberto Siqueira']
Dança da Personagem: Vivenciando o trabalho do ator-dançarino,2012,"['Adilson Roberto Siqueira', 'ANA PAULA GOMES DA ROCHA']"
Ecopoéticas Cenicas e Performáticas,2013,['Adilson Roberto Siqueira']
Ecopoéticas Cenicas e Performáticas (Básico),2014,['Adilson Roberto Siqueira']
Vivências Corporais em Dança e Teatro (Mini-curso),2004,['Adilson Roberto Siqueira']
As Ações Físicas no Trabalho do Ator,1996,['Adilson Roberto Siqueira']
As Ações Físicas no Trabalho do Ator (Oficina),1998,['Adilson Roberto Siqueira']
