PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
A formação da competência crítico-visual,2002,2003,PESQUISA,"['Rachel de Sousa Vianna', 'Karina de Faria Couto', 'Roberto Eustaaquio dos Santos', 'Silke Kapp']","['NAO', 'NAO', 'SIM', 'NAO']"
"Gestão em ciência, tecnologia e inovação: projeto Endogovernamental para estruturação do Laboratório de Pesquisa e Experimentação em Imagem e Som [LAPEIS] e consolidação do Mestrado em Arte e Cultura Contemporânea da Escola Guignard.",2011,2015,PESQUISA,"['Rachel de Sousa Vianna', 'José Márcio Pinto de Moura Barros', 'Cayo Honorato', 'Luzia Gontijo Rodrigues', 'Fabíola Tasca', 'Guilherme Bueno', 'Karina Dias', 'Rosvita Kolb']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Mediação em Artes Visuais: Uma análise de materiais educativos produzidos por museus e centros culturais,2014,2015,PESQUISA,"['Rachel de Sousa Vianna', 'Andrea Adelina Vieira Santos']","['SIM', 'NAO']"
Mediação e apreciação no campo das artes visuais: Objetivos e Métodos,2013,2014,PESQUISA,"['Rachel de Sousa Vianna', 'Andrea Adelina Vieira Santos']","['SIM', 'NAO']"
Mediação em artes visuais no contexto escolar: Um estudo com os participantes do programa Circuito de Museus,2014,2016,PESQUISA,"['Rachel de Sousa Vianna', 'Raquel Jacqueline Emerenciana de Rezende']","['SIM', 'NAO']"
Arte-educação e a cultura visual:  Imagens da infância e dos artistas,2015,2016,PESQUISA,"['Rachel de Sousa Vianna', 'Pedro Henrique Lopes Frias Vimieiro de Medeiros']","['SIM', 'NAO']"
Olho d?Água: Arte contemporânea na escola,2017,2017,EXTENSAO,"['Rachel de Sousa Vianna', 'Ana Carolina Neves', 'Juan Pablo Grifone']","['SIM', 'NAO', 'NAO']"
Ensino de arte e a cidade: Estética e ética na percepção da paisagem urbana de Belo Horizonte,2016,2018,PESQUISA,['Rachel de Sousa Vianna'],['SIM']
Manutenção e Fortalecimento da Assessoria de Intercâmbio e Cooperação Interinstitucional da Universidade do Estado de Minas Gerais,2017,2018,PESQUISA,"['Rachel de Sousa Vianna', 'Lana Mara de Castro Siman', 'Juliana de Fátima Souza', 'Delzi Alves Laranjeira', 'Maria Eduarda de Oliveira', 'Rita Flávia Gomes Carvalho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Mediação da experiência estética na escola,2017,ATUAL,EXTENSAO,"['Rachel de Sousa Vianna', 'Rachel Barbosa', 'Gláucia Enes']","['SIM', 'NAO', 'NAO']"
Materiais educativos para mediação de artes visuais,2017,ATUAL,PESQUISA,"['Rachel de Sousa Vianna', 'Marilene Oliveira Almeida', 'Daniel Oliveira Pucciarelli']","['SIM', 'NAO', 'NAO']"
Experiência estética da paisagem mediada pela arte contemporânea,2019,2019,PESQUISA,['Rachel de Sousa Vianna'],['SIM']
Abordagem cognitivista de mediação cultural,2022,ATUAL,PESQUISA,['Rachel de Sousa Vianna'],['SIM']
Mediação e apreciação no campo das artes visuais: Objetivos e métodos,2012,2013,PESQUISA,"['Rachel de Sousa Vianna', 'Helga Maria Costa Freitas Pompeu']","['SIM', 'NAO']"
Art Education and the City: Three Instruments for Developing Understanding of Urban Aesthetics,1996,1999,PESQUISA,"['Rachel de Sousa Vianna', 'Rebecca Brooks']","['SIM', 'NAO']"
De Chirico: O sentimento da arquitetura - Programa Educativo,2012,2012,OUTRA,['Rachel de Sousa Vianna'],['SIM']
Barroco Itália Brasil: Prata e Ouro,2014,2014,OUTRA,['Rachel de Sousa Vianna'],['SIM']
Rodin: do Ateliê ao Museu - Fotografias e Esculturas: Programa Educativo,2009,2009,OUTRA,['Rachel de Sousa Vianna'],['SIM']
O mundo mágico de Marc Chagall: O sonho e a vida: Programa Educativo,2009,2009,OUTRA,['Rachel de Sousa Vianna'],['SIM']
Museu da Liturgia: Programa Educativo,2011,2011,OUTRA,"['Rachel de Sousa Vianna', 'Mailine Bahia']","['SIM', 'NAO']"
Consultoria ao Educativo do Museu de Arte da Pampulha,2011,2012,EXTENSAO,['Rachel de Sousa Vianna'],['SIM']
Os caprichos de Goya - Programa Educativo,2011,2011,OUTRA,['Rachel de Sousa Vianna'],['SIM']
Ensinar e aprender a ver,2005,2008,PESQUISA,"['Rachel de Sousa Vianna', 'Rachel Mason', 'Celso Fernando Favaretto']","['SIM', 'NAO', 'NAO']"
Consultoria ao Educativo do Museu Inimá de Paula,2018,2018,EXTENSAO,"['Rachel de Sousa Vianna', 'Letícia Reis Arrighi Cerqueira', 'Gerson Aquiles Mendes de Melo']","['SIM', 'NAO', 'NAO']"
Dia Mundial da Água: grito pelos rios e montanhas de Minas,2015,2015,EXTENSAO,"['Rachel de Sousa Vianna', 'Marcos Vinicius Polignano']","['SIM', 'NAO']"
Água da Rua,2011,2011,EXTENSAO,"['Rachel de Sousa Vianna', 'Miguel Capobianco', 'Neusa Alvim', 'Gaby de Aragão']","['SIM', 'NAO', 'NAO', 'NAO']"
Metodologias de ensino-aprendizagem para mediação cultural,2020,2021,PESQUISA,"['Rachel de Sousa Vianna', 'Bernardo Jefferson de Oliveira']","['SIM', 'NAO']"
