INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade Federal de Uberlândia,2003,02,02,02,cursos de música,GRADUACAO,"['introdução a música eletroacústica', 'música e músicos no Brasil', 'arranjo', 'história da música popular industrializada', 'violão', 'formas de expressão e comunicação artística 2', 'história da música 2, 3 e 4']"
Universidade Federal de Uberlândia,2007,12,12,12,cursos de música,GRADUACAO,"['análise musical 1 e 2', 'harmonia funcional 1 e 2', 'criação musical', 'harmonia 1 e 2', 'teoria da música 1 e 2']"
Universidade Federal de São Carlos,2008,12,12,12,Educação Musical (EAD),GRADUACAO,['linguagem e estruturação musical 2']
Universidade Federal de Uberlândia,2009,07,07,07,cursos de música,GRADUACAO,"['Arranjo', 'Harmonia da música popular']"
Universidade Federal de Uberlândia,2009,12,12,12,Curso de música,GRADUACAO,"['Prática de Conjunto turma 2', 'Prática de Conjunto turma 1', 'Criação Musical', 'Harmonia da Música Popular']"
Universidade Federal de Uberlândia,2010,07,07,07,Curso de música,GRADUACAO,"['Pesquisa em música 4', 'Pesquisa em música 3', 'Prática de Conjunto', 'Arranjo']"
Universidade Federal de Uberlândia,2010,12,12,12,Curso de música,GRADUACAO,"['Pesquisa em música 3', 'Técnicas de Estúdio', 'Harmonia Avançada da Música popular', 'Arranjo Vocal']"
Universidade Federal de Uberlândia,2011,07,07,07,Curso de música,GRADUACAO,"['Música computacional 2', 'Pesquisa em música 4', 'Harmonia Tonal na música popular', 'Canto Coral 1, 2, 3 e 4', 'Arranjo 1']"
Universidade Federal de Uberlândia,2011,12,12,12,Curso de música,GRADUACAO,"['Prática de conjunto', 'Arranjo Vocal', 'Técnicas de estúdio']"
Universidade Federal de Uberlândia,2012,10,10,10,Curso de música,GRADUACAO,"['Canto Coral 1', 'Canto Coral 2', 'Canto Coral 3', 'Canto Coral 4', 'Harmonia Avançada na Música Popular', 'Música Computacional 1']"
Universidade Federal de Uberlândia,2012,03,03,03,Música,GRADUACAO,"['Canto Coral 1', 'Canto Coral 2', 'Canto Coral 3', 'Canto Coral 4', 'Harmonia Tonal na Música Popular', 'Música Computacional 2', 'Pesquisa em música 3']"
Universidade Federal de Uberlândia,2017,08,08,08,Música,GRADUACAO,"['Arranjo Vocal', 'Harmonia Avançada na Música Popular', 'Prática de Conjunto 5', 'Prática de Conjunto 6', 'Teoria da Música 1']"
Universidade Federal de Uberlândia,2017,12,12,12,Música,GRADUACAO,"['Teoria da música 1', 'Harmonia avançada da música popular', 'História e apreciação da música brasileira popular', 'Prática de conjunto (turma - canção popular)']"
Universidade Federal de Uberlândia,2018,12,12,12,Música,GRADUACAO,"['Teoria da Música 1', 'Harmonia Modal', 'Arranjo Vocal', 'Prática de conjunto (turma - canção popular)', 'História e apreciação da música brasileira popular', 'Teoria da Música']"
Universidade Federal de Uberlândia,2018,12,12,12,Música,POS-GRADUACAO,['Orientação de Mestrado']
Universidade Federal de Uberlândia,2019,12,12,12,Música,GRADUACAO,"['Prática de Conjunto - Turma Canção Popular', 'Prática Musical - Turma Música Popular', 'Teoria da Música', 'História e Apreciação da Música Brasileira Popular']"
Universidade Federal de Uberlândia,2019,12,12,12,Música,POS-GRADUACAO,['Orientação de Mestrado']
Universidade Federal de Uberlândia,2020,12,12,12,Música,POS-GRADUACAO,['Orientação de Mestrado']
Universidade Federal de Uberlândia,2020,12,12,12,Música,GRADUACAO,"['Arranjo Vocal', 'Harmonia Modal']"
