INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Fundação Comunitária de Ensino Superior de Itabira,2004,07,07,07,Turismo,GRADUACAO,"['Formação Cultural e Artística', 'História Universal da Cultura das Artes']"
Fundação de Arte de Ouro Preto,2005,07,07,07,Conservação / restauração,ESPECIALIZACAO,"['Princípios Teóricos da Conservação e Restauração', 'Introdução a Conservação Preventiva']"
Universidade Federal de Minas Gerais,2008,12,12,12,Conservação e Restauração de Bens Culturais Móveis,GRADUACAO,"['Caracterização de Pinturas', 'Técnicas e Materiais de Douramento', 'Técnicas e Materiais Pictóricos', 'TOPICOS EM ARTES PLASTICAS', 'Tópicos em Conservação-Restauração: Prática de restauração de Pintura ? Ivan Serpa', 'Trabalho final de Graduação', 'INTR A CONSERVACAO RESTAURACAO DE OBRAS']"
Universidade Federal de Minas Gerais,2008,12,12,12,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Artes Visuais I', 'Inventário e Tombamento', 'Seminário- Insetos', 'TOPICOS EM ARTES PLASTICAS V - B']"
Universidade Federal de Minas Gerais,2009,07,07,07,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Análise Científica da obra de Arte', 'ARTES VISUAIS I - A', 'Causas de Deterioração de Bens Culturais', 'Inventário e Tombamento', 'Técnicas e Materiais de Douramento', 'Técnicas e Materiais Pictóricos', 'INTR A CONSERVACAO RESTAURACAO DE OBRAS']"
Universidade Federal de Minas Gerais,2010,12,12,12,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['CARACTERIZACAO DE PINTURAS', 'Causas de Deterioração de Bens Culturais', 'Exames Especiais', 'Inventário e Tombamento', 'Técnicas e Materiais de Douramento']"
Universidade Federal de Minas Gerais,2010,,ATUAL,ATUAL,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Análise ciêntífica da obra de Arte', 'Artes Visuais I', 'Caracterização de Pinturas', 'Causas de deterioração de bens culturais', 'Introdução a Conservação-restauração', 'Introdução a Conservação-restauração de obras de arte', 'Inventário e Tombamento', 'Reintegração Pictórica', 'Técnicas e Materiais Pictóricos']"
Universidade Federal de Minas Gerais,2010,07,07,07,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Causas de Deterioração de Bens Culturais A', 'Causas de Deterioração de Bens Culturais B', 'INTR A CONSERVACAO RESTAURACAO DE OBRAS', 'Tópicos em Conservação-restauração: Inventário e Tombamento', 'Trabalho final de Graduação', 'TECNICAS E MATERIAIS PICTORICOS']"
Universidade Federal de Minas Gerais,2011,12,12,12,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Conservação Restauração de Obras ao Relento', 'Exames Especiais', 'Técnicas e Materiais de douramento', 'Inventário e Tombamento', 'Causas de deterioração de Bens Culturais', 'Metodologia da Pesquisa Científica', 'Trabalho final de graduação']"
Universidade Federal de Minas Gerais,2012,12,12,12,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Causas de Deterioração de Bens Culturais', 'Técnicas e materiais de Douramento', 'Exames Especiais', 'Caracterização de Pinturas', 'Inventário e Tombamento', 'Trabalho Final de Graduação']"
Universidade Federal de Minas Gerais,2015,06,06,06,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,['Reintegração Cromática']
Universidade Federal de Minas Gerais,2016,12,12,12,Conservação-Restauração de Bens Culturais Móveis,GRADUACAO,"['Caracterização de Pinturas', 'Técnicas e Materiais Pictóricos', 'Causas de Deterioração de Bens Culturais', 'Inventário e Tombamento', 'Trabalho Final de Graduação', 'Técnicas e materiais de douramento']"
Universidade Federal de Minas Gerais,2016,11,11,11,Arquitetura,POS-GRADUACAO,"['Autenticação de obras de arte e História da Arte Técnica', 'SEMINÁRIO DE PESQUISA, PÓS-GRADUAÇÃO E INOVAÇÃO', 'Técnicas e materiais pictóricos de pinturas concretas. Simulados de pinturas.', 'Tintas Modernas no Brasil: histórico, propriedades físicas, químicas, e usos em arte e arquitetura', 'Vulnerabilidade de Materiais à Degradação']"
Universidade Federal de Minas Gerais,2016,,ATUAL,ATUAL,Ambiente Construído e Patrimônio Sustentável,POS-GRADUACAO,['Técnicas e materiais do patrimônio cultural e sua preservação']
Universidade Federal de Minas Gerais,2017,11,11,11,Arquitetura,POS-GRADUACAO,"['Co-orientação do projeto de pesquisa de doutorado', 'Vulnerabilidade de Materiais à Degradação']"
