PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
A Glosa e a Variação na Música para Tecla em Portugal (séculos XVI e XVII),2010,2015,PESQUISA,['Edite Maria Oliveira da Rocha'],['SIM']
Ferramentas Tecnológicas para Pesquisa em Música,2015,2016,PESQUISA,"['Edite Maria Oliveira da Rocha', 'Amanda Gomes', 'Glaucia Furtado', 'Ana Carolina Malaquias', 'Daniela Rocha de Oliveira', 'Sérgio Anderson de Moura Miranda', 'Alfredo Ribeiro da Silva', 'Carlos Alfeu Guerra Gomes', 'Andréa Peliccioni Sobreiro', 'Daniel Augusto Oliveira Machado']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
GRUPO DE PESQUISA CNPq Núcleo de Estudos em Música Brasileira (NeMuB),2014,ATUAL,PESQUISA,"['Edite Maria Oliveira da Rocha', 'Ana Claúdia de Assis', 'Flavio Barbeitas Terrigno', 'Marcos Edson Cardoso Filho', 'Jonas Lanna']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
"Ações de restauro, conservação preventiva, organização e divulgação do Acervo Curt Lange",2011,ATUAL,EXTENSAO,"['Edite Maria Oliveira da Rocha', 'Amanda Gomes', 'Natália Leite Braga', 'João Carreño']","['SIM', 'NAO', 'NAO', 'NAO']"
GRUPO DE PESQUISA CNPq Centro de Estudos dos Acervos Musicais Mineiros (CEAMM),2016,ATUAL,PESQUISA,"['Edite Maria Oliveira da Rocha', 'Ana Carolina Malaquias', 'Maurício Freire Garcia', 'Amanda Pamela dos Santos Gomes', 'Vinicius Eufrásio de Oliveira', 'Fabio Viana', 'Boris Tejeda Suñol', 'Aline Azevedo', 'Fernando Lacerda', 'Paulo Augusto Castagna', 'Rachel Tupynambá de Ulhôa', 'Rodrigo Pardini Correa', 'Evandro Archanjo', 'Filipe Nolasco Pedrosa', 'Modesto Flávio Chagas Fonseca', 'Simone de Paula dos Santos', 'Antonio Tenório Sobrinho Filho', 'Diego Sebastião de Oliveira Aguiar', 'Helder da Rocha Coelho', 'Jéssica Aparecida Severino', 'Juliana da Fonseca Nunes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
A Correspondência de Curt Lange no contexto da música e musicologia do século XX,2016,ATUAL,PESQUISA,"['Edite Maria Oliveira da Rocha', 'Amanda Gomes', 'Boris Tejeda Suñol', 'Natália Leite Braga', 'Julio Neves Guatimosim']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Práticas interpretativas: caso das Flores de Música de Manuel Rodrigues Coelho,2006,2010,PESQUISA,['Edite Maria Oliveira da Rocha'],['SIM']
Lusitana Organa - Órgãos de Tubos de Portugal,2010,2015,EXTENSAO,"['Edite Maria Oliveira da Rocha', 'Maria do Amparo Carvas Monteiro', 'Dinarte Machado', 'Paulo Jorge Freire Bernardino']","['SIM', 'NAO', 'NAO', 'NAO']"
