COURSE,YEAR,INTEGRANTES
Oficina Montagem de Peça Teatral,2007,['Wellington Menegaz de Paula']
"Oficina Boca de Ouro, um drama suburbano",2014,['Wellington Menegaz de Paula']
Oficina de Teatro para Não Atores,2001,['Wellington Menegaz de Paula']
Oficina Arte e Educação,2001,['Wellington Menegaz de Paula']
Interpretação: do gesto ao movimento,2009,['Wellington Menegaz de Paula']
Oficina - Drama e adolescentes: possibilidades para o ensino do teatro na educação básica.,2019,['Wellington Menegaz de Paula']
