TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
O papel da improvisação em quatro obras para percussão e meios eletrônicos em tempo real,2011,,Português,OuvirOUver (Uberlândia. Impresso),A2,1809-290X,"['Daniel Luís Barreiro', 'César Adriano Traldi', 'Carlos Roberto Ferreira Menezes Junior', 'Celso Araujo Cintra']","['1', '2', '3', '4']",['3'],-99
"A estruturação harmônica da canção Maria, Maria de Milton Nascimento e Fernando Brant: a articulação do elemento pedal como recurso criativo de exploração da harmonia.",2019,,Português,REVISTA VÓRTEX,A2,2317-9937,['Carlos Roberto Ferreira Menezes Junior'],['1'],['1'],-99
Experimentação e ressignificação de elementos composicionais do Clube da Esquina no processo de criação de dois arranjos vocais.,2020,10.5965/2525530405032020249,Português,ORFEU,A1,2525-5304,"['Carlos Roberto Ferreira Menezes Junior', 'Marco Antonio da Silva Ramos']","['1', '2']",['1'],-99
