PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Presença e subjetividade no teatro de animação contemporâneo: diálogos ator-objeto, discursividade e formação",2010,2013,PESQUISA,"['Mario Ferreira Piragibe', 'Victor Alves Rodrigues', 'Valéria Gianechini de Araújo', 'Welerson Freitas Filho', 'Getúlio Góes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
GEAC - Grupo de Estudos e Investigação sobre Processos de Criação e Formação em Artes Cênicas - CNPq,2010,ATUAL,PESQUISA,"['Mario Ferreira Piragibe', 'Fernando Manoel Aleixo', 'Mara Lúcia Leal', 'Narciso Telles', 'Mariene Hundertmark Perobeli', 'Vilma Campos Leite', 'Paulina Maria Caon']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Grupo de Estudos de Teatro de Sombras GEAC UFU,2011,2016,PESQUISA,"['Mario Ferreira Piragibe', 'Valéria Gianechini de Araújo', 'Welerson Freitas Filho', 'Angie Mendonça', 'Rafael Machado Michalichem', 'Nayara Silva Mendonça', 'Célio Alberto de Ávila Freitas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
O ator animado: poética e pedagogia para um corpo reformulável,2013,2017,PESQUISA,"['Mario Ferreira Piragibe', 'Valéria Gianechini de Araújo', 'Welerson Freitas Filho', 'Angie Mendonça', 'Rafael Machado Michalichem', 'Nayara Silva Mendonça', 'Célio Alberto de Ávila Freitas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Oficina de Teatro e Dança no Periferarte,2012,2012,EXTENSAO,"['Mario Ferreira Piragibe', 'Fernando Manoel Aleixo', 'Mariene Hundertmark Perobeli']","['NAO', 'SIM', 'NAO']"
"Ateliês em Artes Cênicas: produção, extensão e difusão cultural",2012,2012,EXTENSAO,"['Mario Ferreira Piragibe', 'Fernando Manoel Aleixo', 'Narciso Telles', 'Ana Carolina Mundim', 'Mariene Hundertmark Perobeli', 'Ana Maria Pacheco Carneiro', 'Vilma Campos Leite']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Poemas dançantes: no tempo da cidade (Registro SIEX 10621 - Aprovado pela PROEXC UFU),2013,2013,EXTENSAO,"['Mario Ferreira Piragibe', 'Ana Reis Nascimento', 'Bruno Ravazzi Lima', 'Fernanda Gomes Fonseca Bevilaqua', 'Panmela Tadeu Costa', 'Patricia Mendonça Arantes', 'Patrícia Pereira Borges', 'Ricardo Alvarenga Ribeiro', 'Wesley Cesar Claudino']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
CENA ANIMADA I Seminário de Estudos em Teatro de Animação do Triangulo Mineiro (Registro SIEX 14321 - Aprovado pela PROEXC UFU),2014,2014,EXTENSAO,"['Mario Ferreira Piragibe', 'Valéria Gianechini de Araújo']","['SIM', 'NAO']"
Exposição Bonecos daqui; bonecos de não tão longe assim (Registro SIEX 13172 - Aprovado pela PROEXC UFU),2014,2014,EXTENSAO,['Mario Ferreira Piragibe'],['SIM']
2o Encontro Poéticas do Inanimado: Teatro de Bonecos em Tempo(s) de Pandemia(s) (Registro SIEX 22690 - Aprovado pela PROEXC UFU),2020,2020,EXTENSAO,"['Mario Ferreira Piragibe', 'Welerson Freitas Filho', 'Amabilis de Jesus da Silva', 'Izabela Costa Brochado', 'Wagner Francisco Araújo Cintra', 'Dalmir Rogério Pereira', 'Fabiana Lazzari de Oliveira', 'Tácito Freire Borralho', 'Cássia Maria Fernandes Monteiro', 'Flavia Ruchdeschel D´Ávila', 'Ivanildo Lubarino Piccoli', 'Lucas de Carvalho Larcher Pinto', 'Fábio Henrique Nunes Medeiros', 'Rossana Perdomini Della Costa Vellozo', 'Camila de Mattos Faleiros', 'Ismael Scheffler', 'José Sávio Oliveira', 'Kely Elias de Castro', 'Newton Armani de Souza', 'Tuany Fagundes Rausch']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Circulação do espetáculo teatral &amp;quot;Teu nome é meu inimigo a história de Julieta e Romeu&amp;quot; em escolas na Cidade Uberlândia (Registro SIEX 14529 - Aprovado pela PROEXC UFU),2015,2015,EXTENSAO,"['Mario Ferreira Piragibe', 'Valéria Gianechini de Araújo', 'Lucas Nasciutti Mordente', 'Rodrigo Azevedo Santos', 'Ana Beatriz Miranda']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
O TREINAMENTO DO ATOR NO TEATRO DE ANIMAÇÃO perspectivas ampliadas,2017,2018,PESQUISA,['Mario Ferreira Piragibe'],['SIM']
Festival EntreArtes Digital 2021 (Registro SIEX 24229 - Aprovado pelo SIEX UFU),2021,2022,EXTENSAO,"['Mario Ferreira Piragibe', 'Ricardo Alvarenga Ribeiro', 'Ana Elvira Wuo', 'Tamiris Vaz', 'Daniel Lovisi', 'Marcel Esperante Limp', 'Elder Thomaz da Silva', 'Elisa Vilela', 'Sandra Mara Alfonso', 'Lenine Guevara Oliveira e Salvador']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
