COURSE,YEAR,INTEGRANTES
Dança Contemporânea,2008,['Fernando Manoel Aleixo']
Curso Livre de Teatro,2008,['Fernando Manoel Aleixo']
Dança Contemporânea (Limeira - Brasil),2009,"['Ana Carolina da Rocha Mundim', 'Fernando Manoel Aleixo']"
El cuerpo poètico: processo creativo para el intérprete (EMDC Celrá - Espanha),2009,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Seminário del grupo República Cênica (El Cruce - Rosário - Argentina),2009,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Corpo-Voz: voz do ator (São João Del Rei - Brasil),2010,['Fernando Manoel Aleixo']
Corpo-Voz: performance e vocalidade (Ouro Preto - Brasil),2011,['Fernando Manoel Aleixo']
Corpo-Voz (Viçosa - Brasil),2011,['Fernando Manoel Aleixo']
Corpo-Voz: voz do ator (Goiânia - Brasil),2011,['Fernando Manoel Aleixo']
Experimentações Criativas com Grupo Solos de Baco (Goiânia - Brasil),2011,['Fernando Manoel Aleixo']
Técnica vocal para atores,2003,['Fernando Manoel Aleixo']
Teatro - jogos e montagem,2002,['Fernando Manoel Aleixo']
Técnica Vocal para Atores e Bailarinos,2002,['Fernando Manoel Aleixo']
Interpretaçao Teatral,2002,['Fernando Manoel Aleixo']
Woyzeck - estudo da criaçäo e da produçäo teatral,2002,['Fernando Manoel Aleixo']
Técnica Vocal para Atores,2002,['Fernando Manoel Aleixo']
Corpo e Voz - o processo criativo do ator,2002,['Fernando Manoel Aleixo']
Corpo e Voz - o processo criativo do ator,2002,['Fernando Manoel Aleixo']
Técnica Vocal para Atores,2002,['Fernando Manoel Aleixo']
Curso de Teatro,2002,['Fernando Manoel Aleixo']
Corpo-voz (Bienal do Teatro Físico - Goiânia),2013,['Fernando Manoel Aleixo']
"Voz e Canto - a criação do 'Vínculo' (ação de interface da arte e das prática complementares de saúde para atendimento de mães, pais, cuidadores e profissionais que trabalham com a infância); realizado no dia 27 de setembro de 2018",2018,['Fernando Manoel Aleixo']
"Voz e Canto - 'o ritmo' (ação de interface da arte e das prática complementares de saúde para atendimento de mães, pais, cuidadores e profissionais que trabalham com a infância); realizado no dia 11 de outubro de 2018",2018,['Fernando Manoel Aleixo']
"Voz e Canto - 'o melodia' (ação de interface da arte e das prática complementares de saúde para atendimento de mães, pais, cuidadores e profissionais que trabalham com a infância); realizado no dia 25 de outubro de 2018",2018,['Fernando Manoel Aleixo']
"Voz e Canto - 'o timbre' (ação de interface da arte e das prática complementares de saúde para atendimento de mães, pais, cuidadores e profissionais que trabalham com a infância); realizado no dia 9 de novembro de 2018",2018,['Fernando Manoel Aleixo']
Voz e Canto - acolhendo a criança,2019,['Fernando Manoel Aleixo']
Aspectos da produção cultural: modos diferenciados de produção e criação,2007,['Fernando Manoel Aleixo']
Gestão e políticas culturais - fomento e desenvolvimento da produção artística e de políticas culturais,2007,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Processo Criativo: Entre Goivas e Cinzel,2007,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Oficina Montagem Corpo da Memória,2007,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Vocabulário Poético do Ator,2007,['Fernando Manoel Aleixo']
Vocabulário Poético do Ator,2006,['Fernando Manoel Aleixo']
Curso Livre de Teatro,2006,['Fernando Manoel Aleixo']
O corpo e o jogo expressivo: uma proposta didática pedagógica,2006,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Vocabulário Poético do Ator,2005,['Fernando Manoel Aleixo']
Produção Cultural,2005,['Fernando Manoel Aleixo']
Dramturgia da Cena,2005,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Jogos Expressivos para Educadores,2005,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Prática Vocal para Atores,2005,['Fernando Manoel Aleixo']
Aperfeiçoamento Técnico para Ator,2005,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Contação de Histórias,2004,['Fernando Manoel Aleixo']
Técnica Vocal para Atores,2004,['Fernando Manoel Aleixo']
Aprimoramento Técnico para Ator,2004,"['Fernando Manoel Aleixo', 'Ana Carolina da Rocha Mundim']"
Vocabulário Poético: a criação no trabalho do ator,2003,['Fernando Manoel Aleixo']
Corpo e Voz: o processo criativo do ator,2003,['Fernando Manoel Aleixo']
Oficina Cantar e Cuidar da Voz,2003,['Fernando Manoel Aleixo']
Contação de Histórias,2003,['Fernando Manoel Aleixo']
Jogos Teatrais,2003,['Fernando Manoel Aleixo']
Técnica Vocal para Atores,2001,['Fernando Manoel Aleixo']
Técnica vocal para Atores,2001,['Fernando Manoel Aleixo']
Técnica Vocal para Atores,2001,['Fernando Manoel Aleixo']
Vivências de jogos Teatrais como um processo de aprendizado,2000,['Fernando Manoel Aleixo']
Técnica Vocal para Atores,2000,['Fernando Manoel Aleixo']
Drama: um processo educativo através do teatro,1998,['Fernando Manoel Aleixo']
Oficinas de Teatro,1997,['Fernando Manoel Aleixo']
Leitura Dramática - Hamlet,2008,['Fernando Manoel Aleixo']
Vocabulário Poético do Ator,2008,['Fernando Manoel Aleixo']
Oficina de Interpretação Teatral,2006,['Fernando Manoel Aleixo']
