COURSE,YEAR,INTEGRANTES
Master classe de Flauta para alunos de graduação e pós-graduação do curso de Música da UFRGS,2018,['Antonio Carlos Guimarães']
Master classe de flauta transversal,2019,['Antonio Carlos Guimarães']
Master classe de flauta transversal no IV Flautas Gerais,2019,['Antonio Carlos Guimarães']
Curso de Flauta transversal - III semana da Música,2007,['Antonio Carlos Guimarães']
Curso de Flauta Transversal - II Semana da Música,2005,['Antonio Carlos Guimarães']
"Curso de flauta Transversal - XIII festival Internacional de Domingos Martins, ES",2006,['Antonio Carlos Guimarães']
Curso de Flauta Transversal - XI Festival Internacional de Inverno - Domingos Martins,2004,['Antonio Carlos Guimarães']
Oficina de Flauta Transversal - XVI Inverno Cultural da UFSJ,2004,['Antonio Carlos Guimarães']
Oficina de flauta transversal e coral de flautas,2010,"['Antonio Carlos Guimarães', 'Marcelo Parizzi']"
Master Classe de Flauta Transversal,2010,['Antonio Carlos Guimarães']
Femusa - Festival de Música de Sarzedo - Oficina de Flauta Transversal,2011,['Antonio Carlos Guimarães']
