TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"Relendo Mechanical Musica (1937), de Béla Bartók",2014,Português,EdUEMG,['Sergio Freire Garcia'],['1'],['1']
"Relac&amp;#807;o&amp;#771;es entre a instrumentac&amp;#807;a&amp;#771;o e a mediac&amp;#807;a&amp;#771;o tecnolo&amp;#769;gica na obra Sintonias, para berimbau e eletro&amp;#770;nica em tempo real, de Se&amp;#769;rgio Freire",2018,Português,,"['Breno Bragança', 'Sergio Freire Garcia', 'Fernando Rocha']","['1', '2', '3']",['2']
Sobre as obras &amp;quot;Shama&amp;quot; e &amp;quot;Música para 24 cordas&amp;quot;,2018,Português,Escola de Música da UFMG,['Sergio Freire Garcia'],['1'],['1']
O 'extra-musical' como elemento de composição: partituras e ambientação em dois filmes de Bergman,2020,Português,Programa de Pós-Graduação em Artes da UFMG,['Sergio Freire Garcia'],['1'],['1']
Sarabanda de Scriabin de Leo Brouwer: escrita idiomática e interpretação baseada em escolhas timbrísticas,2016,Português,Minas de Som,"['Filipe Malta', 'Sergio Freire Garcia']","['1', '2']",['2']
