TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Ecum Aposta na Afirmação de Belo Horizonte como um dos Principais Pólos das Artes Cênicas no País,1998,,Português,Revista Ensaio Aberto,XX,-,['Fernando Antonio Mencarelli'],['1'],['1'],-99
"A voz e a partitura: teatro musical, indústria e diversidade cultural no Rio de Janeiro",2003,,Português,Folhetim (Rio de Janeiro),C,1415-370X,['Fernando Antonio Mencarelli'],['1'],['1'],-99
Cine-Horto em Foco: Cursos Livres - Transformação e aprendizagem permanente,2005,,Português,Subtexto (Belo Horizonte),C,1807-5959,['Fernando Antonio Mencarelli'],['1'],['1'],-99
Dramaturgias en proceso: la escena al revés,2011,,Espanhol,Contraluz -Estudios sobre artes escénicas,XX,1853-2241,['Fernando Antonio Mencarelli'],['1'],['1'],-99
Mapas e Caminhos: práticas corpóreas e transculturalidade,2013,10.1590/2237-266036945,Português,REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA [EPERIODICO],A1,2237-2660,['Fernando Antonio Mencarelli'],['1'],['1'],-99
Prácticas corporales y alteridad en la cultura de grupo: el Yuyachkani,2015,,Espanhol,Contraluz -Estudios sobre artes escénicas,XX,1853-2241,['Fernando Antonio Mencarelli'],['1'],['1'],-99
Olhares críticos,2014,,Português,cartografias.MITsp -  Revista de Artes Cênicas,NP,2357-7487,"['Silvia Fernandes', 'Fernando Antonio Mencarelli']","['1', '2']",['2'],-99
Olhares críticos,2015,,Português,cartografias.MITsp -  Revista de Artes Cênicas,NP,2357-7487,"['Fernando Antonio Mencarelli', 'Silvia Fernandes']","['1', '2']",['1'],-99
Olhares críticos,2016,,Português,cartografias.MITsp -  Revista de Artes Cênicas,NP,2357-7487,"['Fernando Antonio Mencarelli', 'Silvia Fernandes']","['1', '2']",['1'],-99
"Orissi e GDS: experiências de ensino, aprendizagem e pesquisa",2017,10.20396/pita.v7i1.8650797,Português,Revista de Estudos Teatrais Pitágoras,A4,2237-387X,"['Priscilla de Queiroz Duarte', 'Fernando Antonio Mencarelli']","['1', '2']",['2'],-99
Epistemologias: transversalidades nas artes da cena (Texto de Abertura),2017,10.20396/conce.v6i2.8651172,Português,CONCEIÇÃO/CONCEPTION REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES DA CENA,A4,2317-5737,['Fernando Antonio Mencarelli'],['1'],['1'],-99
Criação e pesquisa no teatro brasileiro contemporâneo,2010,,Português,Revista Teatro CELCIT,XX,1851-023X,['Fernando Antonio Mencarelli'],['1'],['1'],-99
