INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Casa Fiat de Cultura,2006,04,04,04,,OUTRO,['Orientação de Visita na Exposição - Arte Italiana do MASP na Casa Fiat de Cultura']
Casa Fiat de Cultura,2007,10,10,10,,OUTRO,['Orientação de Visita na Exposição Speed - A arte da Velocidade']
Escola Albert Einstein,2008,07,07,07,,ENSINO-MEDIO,"['Filosofia', 'Pesquisa em Ciências Humanas']"
Escola Albert Einstein,2008,07,07,07,,ENSINO-FUNDAMENTAL,['Pesquisa em Ciências Humanas']
Fundação Educacional do Vale do Jequitinhonha,2008,03,03,03,Direito,GRADUACAO,"['Ciência Política', 'Elaboração de Projetos', 'Filosofia do Direito', 'Metodologia Científica']"
Pontifícia Universidade Católica de Minas Gerais,2008,12,12,12,Comunicação Integrada,GRADUACAO,"['Fotografia', 'Fotografia Publicitária']"
Fundação Educacional do Vale do Jequitinhonha,2010,07,07,07,Direito,ESPECIALIZACAO,['Metodologia Científica']
Universidade do Estado de Minas Gerais,2010,11,11,11,Artes Plásticas,GRADUACAO,"['Crítica de Arte', 'Estética I', 'Estética II', 'Filosofia da arte', 'Tópicos em arte contemporânea', 'Tópicos em filosofia da arte']"
Universidade do Estado de Minas Gerais,2010,11,11,11,Educação Artística,GRADUACAO,"['Antropologia', 'Estética I', 'Estética II', 'Filosofia da Arte', 'Tópicos em Filosofia da Arte']"
Universidade Federal de Ouro Preto,2017,12,12,12,Estética e Filosofia da Arte,POS-GRADUACAO,['Ontologia da arte em Arthur Danto']
Universidade Federal de Ouro Preto,2017,11,11,11,Filosofia,GRADUACAO,"['Seminário de Ensino de Filosofia V', 'Seminário de Ensino Filosófico VI', 'Estética Geral']"
Universidade Federal de Ouro Preto,2017,04,04,04,História - Licenciatura Ou Bacharelado,GRADUACAO,['Filosofia']
Universidade do Estado de Minas Gerais,2018,,ATUAL,ATUAL,Artes,POS-GRADUACAO,['Arte e cultura no contexto contemporâneo']
Universidade do Estado de Minas Gerais,2018,02,02,02,Artes Plásticas e Contemporaneidade,ESPECIALIZACAO,['Teorias da arte contemporânea']
Universidade do Estado de Minas Gerais,2018,06,06,06,Artes Plásticas,GRADUACAO,"['Arte na Atualidade A', 'Arte na Atualidade B', 'Tópicos em História da Arte Moderna e Contemporânea']"
Universidade Federal de Minas Gerais,2019,,ATUAL,ATUAL,Artes Visuais,GRADUACAO,"['Arte Moderna e Contemporânea', 'Artes Visuais I', 'Artes Visuais no Brasil I', 'Artes Visuais no Brasil II', 'Crítica de Arte']"
Université Paris 1 Pantheon-Sorbonne,2019,01,01,01,Centre de Recherche en Esthétique,POS-GRADUACAO,"['Master 2', 'Séminaire Doctorale']"
Universidade Federal de Minas Gerais,2020,,ATUAL,ATUAL,Conservação e Restauração de Bens Culturais Móveis,GRADUACAO,['Artes Visuais no Brasil II']
Universidade Federal de Minas Gerais,2021,,ATUAL,ATUAL,Artes,POS-GRADUACAO,['Arte contemporânea e os limites da história']
