TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"O MEIO: A CIDADE, O DESEJO, O DESENHO E O OLHAR",2002,Português,UFU/PROEX,"['Elsieni Coelho da Silva', 'et all']","['1', '2']",['1']
"SILVA, Elsieni C. A pesquisa como prática formativa do professor em artes. In:ARAUJO, Roberta Maira de Melo; ARSLAN, Luciana Mourão. (org.)ARTES VISUAIS E EDUCAÇÃO: Ensino e Formação. Uberlândia: EDUFU, 2017. p.27-42",2017,Português,EDUFU,['Elsieni Coelho da Silva'],['1'],['1']
"SILVA, E. C. da; SANTOS, A. N. F. O que revelam as Teses e dissertações sobre professores(as) do Programa de Pós-graduação da UFU?",2017,Português,IFG,"['Elsieni Coelho da Silva', 'Antonio Neto Ferreira dos Santos']","['1', '2']",['1']
"SILVA, E. C. ; SANTOS, A. N. F. Concepção de professor crítico em Paulo Freire. In: BERNARDES, S. T. A.Pesquisas sobre o professor e a educação básica. Curitiba: CRV, 2018. p 37-52 ISBN 9788544419649",2018,Português,CRV,"['Elsieni Coelho da Silva', 'Antonio Neto Ferreira dos Santos']","['1', '2']",['1']
"SILVA, E. C. Elsieni Coelho: A Série Marias. In: DUARTE, A. H. da S.; MOREIRA, C. (org).NUPPE: Núcleo de Pesquisa em Pintura e Ensino. Uberlândia: Poloprinter, 2018. p.29-32 ISBN 9782955631317",2018,Português,Poloprinter,['Elsieni Coelho da Silva'],['1'],['1']
"SILVA, E. C.; MELO, R. M. Diversidade Cultural e educação para as relações étnico-raciais na formação de professore. In SOUZA,C. E. S; MELO G. F. Formação Inicial de Professores. Jundiaí:Paço Editorial, 2018. p 191-210. ISBN 9788546212453",2018,Português,Paco Editorial,"['Elsieni Coelho da Silva', 'ROBERTA MAIRA MELO']","['1', '2']",['1']
"SILVA, E.C.; SANTOS, A. N. F. Desafios epistemológicos e metodológicos da abordagem qualitativa de pesquisa. In: MAGALHÃES, S. M. O.; SOUZA, R. C. C. R  Epistemologia da práxis e epistemologia da prática.SP: Mercado de Letras 2018. p.65-93 ISBN 9788575915",2018,Português,Mercado de Letras,"['Elsieni Coelho da Silva', 'Antonio Neto Ferreira dos Santos']","['1', '2']",['1']
"SILVA, E. C. da; SANTOS, A. N 'O que revelam as teses e dissertações sobre professores(as) defendidas na pós-graduação em educação da UFU?'   In: Souza, R. C. C. A Pesquisa sobre professores(ras) no Centro-oeste; Goiânia, IFG, 2019. ISBN 978-85-67022-29-1",2019,Português,IFG,"['Elsieni Coelho da Silva', 'Antonio Neto Ferreira dos Santos']","['1', '2']",['1']
"SILVA, M. I.; SILVA, Elsieni C. Oficinas de artes para bordar e pensar: interculturalidade e identidade no ensino de artes visuais. In: SILVA, G. B. (org.) Educação: Pesquisa em linguagens, leitura e cultura. Guarujá, SP: Científica Digital, 2021. p.189-",2021,Português,Científica Digital,"['Marcia Inês da Silva', 'Elsieni Coelho da Silva']","['1', '2']",['2']
"SILVA, Elsieni Coelho. Não-Lugares  e o habitar no campo da pintura. In: DUARTE, A. H. S. D.; FERREIRA, A. R.; RODRIGUES, R. F. Pintura: Pensamentos e Movências. 1ed.Uberlândia /MG: EDUFU, 2021, v. 350, p112-121",2021,Malgaxe,EDUFU,['Elsieni Coelho da Silva'],['1'],['1']
