COURSE,YEAR,INTEGRANTES
Pedagogia do movimento,2020,['Ana Cristina Carvalho Pereira']
Docente do minicurso ARTE E EDUCAÇÃO/MOTRICIDADE,2003,['Ana Cristina Carvalho Pereira']
Docente do tema PCN ARTE/DANÇA: reflexões e prática,2002,['Ana Cristina Carvalho Pereira']
Docente do tema CANTIGAS DE RODA: cantar e dançar,2002,['Ana Cristina Carvalho Pereira']
Docente do minicurso A ARTE COMO POSSIBILIDADE DE CONSTRUÇÃO DE IDENTIDADE NO CONTEXTO ESCOLAR,2004,['Ana Cristina Carvalho Pereira']
Docente do curso de JAZZ,1994,['Ana Cristina Carvalho Pereira']
Docente do curso de JAZZ,1984,['Ana Cristina Carvalho Pereira']
Docente do curso de JAZZ,1984,['Ana Cristina Carvalho Pereira']
Docente do curso de DANÇA,1987,['Ana Cristina Carvalho Pereira']
Docente da aula/oficina A EDUCAÇÃO INFANTIL NA CONTEMPORANEIDADE - II,2010,['Ana Cristina Carvalho Pereira']
Docente da aula/oficina A EDUCAÇÃO INFANTIL NA CONTEMPORANEIDADE - I,2009,['Ana Cristina Carvalho Pereira']
Linguagem corporal na educação infantil,2011,['Ana Cristina Carvalho Pereira']
Docente da OFICINA DE DANÇA: UMA NOVA LINGUAGEM NA ESCOLA,2002,['Ana Cristina Carvalho Pereira']
Linguagem corporal na educação infantil,2011,['Ana Cristina Carvalho Pereira']
Docência na Educação Infantil,2015,['Ana Cristina Carvalho Pereira']
Linguagem corporal: Dança,2012,['Ana Cristina Carvalho Pereira']
Docente da oficina A RELAÇÃO DO CORPO E A CONSTRUÇÃO DO CONHECIMENTO,2006,['Ana Cristina Carvalho Pereira']
Linguagem corporal: Dança,2013,['Ana Cristina Carvalho Pereira']
Linguagem corporal e as proposições curriculares da educação infantil em Belo Horizonte,2013,['Ana Cristina Carvalho Pereira']
Linguagem corporal: Dança,2013,['Ana Cristina Carvalho Pereira']
Linguagem corporal: Dança,2014,['Ana Cristina Carvalho Pereira']
"Corpo, linguagem corporal e aprendizagem",2018,['Ana Cristina Carvalho Pereira']
LINGUAGEM CORPORAL: COMPONENTE DO PROCESSO ENSINO-APRENDIZAGEM,2006,['Ana Cristina Carvalho Pereira']
Jazz,1988,['Ana Cristina Carvalho Pereira']
Linguagem corporal,2006,['Ana Cristina Carvalho Pereira']
Condutora do workshop 'Por um currículo vivo com artes',2006,['Ana Cristina Carvalho Pereira']
Docente do curso LINGUAGEM CORPORAL NO CONTEXTO ESCOLAR,2006,['Ana Cristina Carvalho Pereira']
